"Pseudotime","Genotype","Motif_name","Score","P_value"
"(0.5,0.55]","BADC","caudal(Homeobox)/Drosophila-Embryos-ChIP-Chip(modEncode)/Homer",0.953,"1e-61"
"(0.5,0.55]","BADC","TCF7L2/MA0523.2/Jaspar",0.975,"1e-26"
"(0.5,0.55]","BADC","PH0053.1_Hoxa6/Jaspar",0.746,"1e-21"
"(0.5,0.55]","BADC","ARF10/MA1685.2/Jaspar",0.733,"1e-12"
"(0.5,0.55]","BADC","Plagl1/MA1615.2/Jaspar",0.681,"1e-12"
"(0.5,0.55]","BADC","TCF4/MA0830.3/Jaspar",0.872,"1e-12"
"(0.5,0.55]","BADC","ZBTB6/MA1581.2/Jaspar",0.794,"1e-11"
"(0.5,0.55]","BADC","Elba1/MA1837.2/Jaspar",0.692,"1e-11"
"(0.5,0.55]","BADC","PTBP1(RRM)/Homo_sapiens-RNCMPT00268-PBM/HughesRNA",0.731,"1e-10"
"(0.5,0.55]","BADC","WRKY42/MA1310.2/Jaspar",0.721,"1e-10"
"(0.5,0.55]","BADC","ZNF263/MA0528.3/Jaspar",0.734,"1e-9"
"(0.5,0.55]","BADC","Tb_0230(RRM)/Trypanosoma_brucei-RNCMPT00230-PBM/HughesRNA",0.67,"1e-8"
"(0.5,0.55]","BADC","ZHD1/MA1329.3/Jaspar",0.802,"1e-8"
"(0.5,0.55]","BADC","SNRNP70(RRM)/Homo_sapiens-RNCMPT00070-PBM/HughesRNA",0.761,"1e-8"
"(0.5,0.55]","BADC","TRP2(MYBrelated)/colamp-TRP2-DAP-Seq(GSE60143)/Homer",0.767,"1e-8"
"(0.5,0.55]","BADC","Su(H)/MA0085.2/Jaspar",0.828,"1e-8"
"(0.5,0.55]","BADC","elt-1/MA2165.1/Jaspar",0.788,"1e-7"
"(0.5,0.55]","BADC","ZIPIC/MA2322.1/Jaspar",0.747,"1e-7"
"(0.5,0.55]","BADC","FEZF2/MA2341.1/Jaspar",0.708,"1e-6"
"(0.5,0.55]","BADC","GATA15(C2C2gata)/col-GATA15-DAP-Seq(GSE60143)/Homer",0.74,"1e-3"
"(0.5,0.55]","BADC","Dlx2/MA0885.3/Jaspar",0.739,"1e-3"
"(0.5,0.55]","BADC","PHD1/PHD1_BUT90/8-SUT1",NA,"1e-2"
"(0.5,0.55]","BADC","ZNF652/HepG2-ZNF652.Flag-ChIP-Seq(Encode)/Homer",0.821,"1e-2"
"(0.5,0.55]","BADC","RUNX3/MA0684.3/Jaspar",0.634,"1e-2"
"(0.5,0.55]","wt","TBX3/MA1566.3/Jaspar",0.959,"1e-23"
"(0.5,0.55]","wt","CDX2/MA0465.3/Jaspar",0.903,"1e-23"
"(0.5,0.55]","wt","Dlx2/MA0885.3/Jaspar",0.992,"1e-14"
"(0.5,0.55]","wt","KAN2(G2like)/colamp-KAN2-DAP-Seq(GSE60143)/Homer",0.704,"1e-13"
