p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci	group1	group2
3.89235585974078e-133	10.7464865306818	0.493	0	2.14628394461966e-128	Hoxb1	HoxABCD	Progenitors_wt	Progenitors_BADC
6.36824016812144e-50	-0.846628569688874	0.516	0.841	3.51151131110384e-45	Cdx1	other	Progenitors_wt	Progenitors_BADC
3.71242225099143e-36	8.74990943541591	0.161	0	2.04706675341918e-31	Hoxa3	HoxABCD	Progenitors_wt	Progenitors_BADC
3.56064659746093e-26	-0.97073021618548	0.126	0.318	1.96337614030593e-21	Fgf3	other	Progenitors_wt	Progenitors_BADC
7.20674598774883e-18	7.60754024353846	0.08	0	3.97387180510458e-13	Hoxa2	HoxABCD	Progenitors_wt	Progenitors_BADC
4.70277988095512e-14	-0.373776292179538	0.349	0.563	2.59315985415746e-09	Etv4	other	Progenitors_wt	Progenitors_BADC
3.91142712476646e-09	-0.338208078136751	0.228	0.365	0.000215680003086747	Fgf4	other	Progenitors_wt	Progenitors_BADC
1.79998557774206e-07	-0.223626893607608	0.321	0.477	0.00992530047422747	Nkx1-2	other	Progenitors_wt	Progenitors_BADC
2.29869905770419e-07	-0.0854763305292744	0.219	0.351	0.0126752564740867	Pbx1	other	Progenitors_wt	Progenitors_BADC
2.90171246513026e-07	-0.219514544150179	0.407	0.602	0.0160003327039748	Cdx2	other	Progenitors_wt	Progenitors_BADC
2.04970547281763e-06	-0.110574748825819	0.374	0.552	0.113022809476637	Wnt3a	other	Progenitors_wt	Progenitors_BADC
0.00411886090932335	0.0604456847199285	0.283	0.38	1	Meis2	other	Progenitors_wt	Progenitors_BADC
0.0116282233264188	0.284229352748891	0.179	0.244	1	Pbx2	other	Progenitors_wt	Progenitors_BADC
0.0917432619363582	1.3413176607919	0.044	0.031	1	Meis1	other	Progenitors_wt	Progenitors_BADC
2.47743126800451e-171	11.1214436772907	0.516	0	1.36608037549037e-166	Hoxb1	HoxABCD	Mesoderm_wt	Mesoderm_BADC
1.14314912496086e-61	-0.865407488935036	0.46	0.775	6.30343858994668e-57	Cdx1	other	Mesoderm_wt	Mesoderm_BADC
1.23991574381477e-28	8.39572361720045	0.112	0	6.837019402969e-24	Hoxa2	HoxABCD	Mesoderm_wt	Mesoderm_BADC
1.86247451129739e-27	8.34137997749932	0.107	0	1.0269870702745e-22	Hoxa3	HoxABCD	Mesoderm_wt	Mesoderm_BADC
3.08361459827977e-10	-0.330438835922841	0.189	0.303	1.70033592563745e-05	Pbx2	other	Mesoderm_wt	Mesoderm_BADC
4.42018678854879e-10	-0.282321430295264	0.279	0.419	2.43733519707369e-05	Pbx1	other	Mesoderm_wt	Mesoderm_BADC
1.6855253825769e-07	-0.141101106948372	0.161	0.254	0.00929415551206731	Cdx2	other	Mesoderm_wt	Mesoderm_BADC
0.000262733967721131	0.0673638651560513	0.135	0.195	1	Fgf3	other	Mesoderm_wt	Mesoderm_BADC
0.00115521035211301	-0.111902373702684	0.099	0.142	1	Wnt3a	other	Mesoderm_wt	Mesoderm_BADC
0.0107002649804626	0.0646059746639502	0.082	0.112	1	Nkx1-2	other	Mesoderm_wt	Mesoderm_BADC
0.0177189545342176	0.0891359367592077	0.17	0.219	1	Etv4	other	Mesoderm_wt	Mesoderm_BADC
0.179770011891926	0.0739988849151865	0.075	0.091	1	Fgf4	other	Mesoderm_wt	Mesoderm_BADC
0.214447301037804	0.108660724598382	0.641	0.717	1	Meis2	other	Mesoderm_wt	Mesoderm_BADC
0.665454834867903	0.661543297860677	0.149	0.155	1	Meis1	other	Mesoderm_wt	Mesoderm_BADC
3.0739741661543e-192	-1.71527931083527	0.319	0.662	1.69502009495914e-187	Meis2	other	Progenitors	Mesoderm
8.26863040644653e-191	2.21988139152952	0.44	0.111	4.55940549241868e-186	Wnt3a	other	Progenitors	Mesoderm
3.89226629460917e-167	2.3470719407	0.379	0.09	2.14623455751044e-162	Nkx1-2	other	Progenitors	Mesoderm
1.10473689483541e-137	1.57842754556032	0.479	0.187	6.09162971181193e-133	Cdx2	other	Progenitors	Mesoderm
2.87937742684449e-104	1.58347868651238	0.427	0.184	1.58771750693632e-99	Etv4	other	Progenitors	Mesoderm
5.14753794586956e-98	2.02923332617506	0.278	0.079	2.83840389873193e-93	Fgf4	other	Progenitors	Mesoderm
6.93964911109403e-44	-2.3181091028964	0.039	0.151	3.82659191634836e-39	Meis1	other	Progenitors	Mesoderm
9.29181525337951e-15	0.320687008386143	0.636	0.547	5.123599848866e-10	Cdx1	other	Progenitors	Mesoderm
2.821522221774e-08	-0.558179343508446	0.267	0.318	0.0015558155683084	Pbx1	other	Progenitors	Mesoderm
2.52619942700699e-07	-0.364472257833419	0.312	0.373	0.0139297162604592	Hoxb1	HoxABCD	Progenitors	Mesoderm
4.61204978337017e-06	-0.777698484886511	0.051	0.081	0.254313037104815	Hoxa2	HoxABCD	Progenitors	Mesoderm
1.14147769761246e-05	0.315428054520405	0.197	0.152	0.629422217240487	Fgf3	other	Progenitors	Mesoderm
0.00082540966513078	0.419014346692066	0.102	0.078	1	Hoxa3	HoxABCD	Progenitors	Mesoderm
0.0371899028449662	-0.260765055715582	0.203	0.221	1	Pbx2	other	Progenitors	Mesoderm
