p_val	avg_diff	pct.1	pct.2	p_val_adj	name	group1	group2
1.16589953556216e-196	1.90867599407154	0.406	0.042	2.91358293936985e-193	JASPAR2022-MA0070.1	Progenitors_wt	Progenitors_BADC
4.64489332843173e-88	1.40890494627238	0.328	0.091	1.16075884277509e-84	JASPAR2022-MA1639.1	Progenitors_wt	Progenitors_BADC
2.72394220568495e-16	-1.34011049858538	0.948	0.969	6.80713157200669e-13	JASPAR2022-MA0878.1	Progenitors_wt	Progenitors_BADC
2.64739767617499e-12	-0.596856696358325	0.386	0.523	6.61584679276129e-09	JASPAR2022-MA0768.2	Progenitors_wt	Progenitors_BADC
1.33770711322262e-10	-0.360167204622046	0.473	0.574	3.34293007594334e-07	JASPAR2022-MA1113.2	Progenitors_wt	Progenitors_BADC
1.40556999892406e-05	-0.26029888418431	0.493	0.553	0.0351251942731123	JASPAR2022-MA1640.1	Progenitors_wt	Progenitors_BADC
0.00253898483075132	0.15819471196882	0.852	0.782	1	ISMARA- Nkx1-2	Progenitors_wt	Progenitors_BADC
0	2.91604714991253	0.807	0.094	0	JASPAR2022-MA0070.1	Mesoderm_wt	Mesoderm_BADC
8.92520573596384e-223	2.42886336800109	0.781	0.261	2.23040891341736e-219	JASPAR2022-MA1639.1	Mesoderm_wt	Mesoderm_BADC
6.9997164054619e-175	1.51332461817175	0.423	0.093	1.74922912972493e-171	ISMARA- Nkx1-2	Mesoderm_wt	Mesoderm_BADC
2.776989462248e-18	-1.00735117415684	0.552	0.656	6.93969666615776e-15	JASPAR2022-MA0768.2	Mesoderm_wt	Mesoderm_BADC
4.70385388990023e-05	-0.248680053147055	0.479	0.542	0.117549308708607	JASPAR2022-MA1113.2	Mesoderm_wt	Mesoderm_BADC
0.00146887945882879	-0.178675787977995	0.486	0.533	1	JASPAR2022-MA1640.1	Mesoderm_wt	Mesoderm_BADC
0.00694743852074125	0.368088302132545	0.18	0.158	1	JASPAR2022-MA0878.1	Mesoderm_wt	Mesoderm_BADC
0	7.80784642287455	0.956	0.174	0	JASPAR2022-MA0878.1	Progenitors	Mesoderm
0	1.89066662473411	0.826	0.332	0	ISMARA- Nkx1-2	Progenitors	Mesoderm
6.24945256757248e-244	-1.75550461315889	0.241	0.637	1.56173819663636e-240	JASPAR2022-MA1639.1	Progenitors	Mesoderm
3.76051299320547e-171	-1.36922626185419	0.272	0.61	9.39752197002047e-168	JASPAR2022-MA0070.1	Progenitors	Mesoderm
1.1139194128121e-42	-0.881246088557349	0.436	0.581	2.78368461261744e-39	JASPAR2022-MA0768.2	Progenitors	Mesoderm
