p_val	avg_diff	pct.1	pct.2	p_val_adj	name
0	4.08323760642183	0.867	0.038	0	ISMARA- Hoxb1
0	4.87743361414425	0.882	0.059	0	HOXA1(Homeobox)/mES-Hoxa1-ChIP-Seq(SRP084292)/Homer
0	4.05650104921625	0.869	0.051	0	ISMARA- Hoxb4
0	4.08229742523664	0.871	0.054	0	Hoxb4(Homeobox)/ES-Hoxb4-ChIP-Seq(GSE34014)/Homer
0	4.82156747946321	0.875	0.061	0	ISMARA- Hoxa2
0	4.82136995851754	0.876	0.062	0	HOXA2(Homeobox)/mES-Hoxa2-ChIP-Seq(Donaldson-et-al.)/Homer
0	3.54868588556183	0.846	0.05	0	ISMARA- Hoxa1
0	4.29578909465344	0.856	0.073	0	Pdx1(Homeobox)/Islet-Pdx1-ChIP-Seq(SRA008281)/Homer
0	4.21493092573531	0.849	0.077	0	ISMARA- Pdx1
0	2.89332558703173	0.802	0.091	0	JASPAR2022-MA0070.1
3.76641620669605e-279	1.99673381658629	0.802	0.212	9.41227410053343e-276	Berger2008-Pbx1-3203.1
1.56992192022663e-244	1.80186096693274	0.474	0.066	3.92323487864634e-241	Berger2008-Nkx6-3-3446.1
1.5919791248759e-244	1.80194659088755	0.474	0.066	3.97835583306487e-241	ISMARA- Nkx6-3
8.66181200558926e-239	1.80960929068114	0.446	0.069	2.16458682019676e-235	Berger2008-Nkx6-1-2825.1
5.92470273180932e-227	2.48887974729683	0.785	0.267	1.48058321267915e-223	JASPAR2022-MA1639.1
1.8222821891723e-219	1.71181470956744	0.497	0.089	4.55388319074159e-216	ISMARA- Pou4f2
6.10498791223825e-217	1.69131119446127	0.405	0.064	1.52563647926834e-213	ISMARA- Hoxc5
6.30189450079585e-217	1.69119949309845	0.405	0.064	1.57484343574888e-213	Berger2008-Hoxc5-2630.2
1.01992510334225e-215	1.60652219104316	0.463	0.076	2.54879283325228e-212	Berger2008-Nkx6-1-2825.2
1.07001744487997e-214	1.6535737532069	0.464	0.094	2.67397359475504e-211	JASPAR2022-MA1507.1
2.2847315223446e-211	1.63377977906766	0.465	0.084	5.70954407433916e-208	Berger2008-Pou3f2-2824.1
3.0088145871397e-205	1.75983639798749	0.684	0.209	7.51902765326211e-202	ISMARA- Hoxb8
7.05432223070774e-201	1.56864340236244	0.451	0.089	1.76287512545387e-197	Berger2008-Hoxa4-3426.1
2.70979353838528e-200	1.67121438594375	0.477	0.097	6.77177405242482e-197	JASPAR2022-MA0854.1
5.59038142099428e-200	1.6768360993541	0.479	0.093	1.39703631710647e-196	Berger2008-Cart1-0997.1
5.84538446545333e-198	1.62378862302777	0.437	0.091	1.46076157791679e-194	Berger2008-Vsx1-1728.1
4.75999292438197e-195	1.67464916511717	0.39	0.068	1.18952223180305e-191	Berger2008-Msx1-3031.2
6.44395973100549e-195	1.62654341957696	0.438	0.094	1.61034553677827e-191	JASPAR2022-MA0621.1
5.26666399704806e-194	1.59428022191989	0.458	0.105	1.31613933286231e-190	Berger2008-En2-0952.1
4.92351127477546e-193	1.49193768818204	0.42	0.089	1.23038546756639e-189	Berger2008-Isl2-3430.1
4.92351127477546e-193	1.49193768818204	0.42	0.089	1.23038546756639e-189	ISMARA- Isl2
1.15433018571354e-192	1.69003444140191	0.438	0.079	2.88467113409814e-189	Berger2008-Emx2-3420.1
2.10524914660988e-192	1.45293553281363	0.451	0.096	5.26101761737809e-189	ISMARA- Pou4f3
3.5453910723835e-192	1.45184209456335	0.452	0.095	8.85993228988638e-189	Berger2008-Pou4f3-2791.1
7.30269976333415e-192	1.38521557854456	0.566	0.134	1.8249446708572e-188	Pax7(Paired,Homeobox)/Myoblast-Pax7-ChIP-Seq(GSE25064)/Homer
5.78508399032382e-190	1.70441486221956	0.445	0.088	1.44569248918192e-186	Berger2008-Vax2-3500.1
5.78508399032382e-190	1.70441486221956	0.445	0.088	1.44569248918192e-186	ISMARA- Vax2
5.90475498801023e-190	1.48629065448323	0.404	0.068	1.47559827150376e-186	Berger2008-Pou2f1-3081.2
5.77843645553293e-189	1.53380642693742	0.413	0.069	1.44403127023768e-185	Berger2008-Hoxb7-3953.1
7.27988316883663e-188	1.55654016064318	0.419	0.084	1.81924280389227e-184	Berger2008-Hoxb3-1720.2
7.44476762885663e-188	1.55660598725493	0.418	0.084	1.86044743045127e-184	ISMARA- Hoxb3
7.88952863833016e-188	1.55874424866134	0.419	0.085	1.97159320671871e-184	ISMARA- Hoxc4
1.08161654361797e-187	1.55916926455331	0.419	0.088	2.7029597425013e-184	Berger2008-Hoxc4-3491.1
4.64788767940665e-187	1.44741529103189	0.448	0.098	1.16150713108372e-183	JASPAR2022-MA1530.1
2.07795250444917e-186	1.76218288595345	0.384	0.077	5.19280330861849e-183	ISMARA- Hoxa3
2.2229055521039e-186	1.76211417976938	0.383	0.078	5.55504097470765e-183	Berger2008-Hoxa3-2783.2
9.4838403978166e-186	1.53496453097197	0.446	0.087	2.37001171541437e-182	Berger2008-Esx1-3124.2
9.4838403978166e-186	1.53496453097197	0.446	0.087	2.37001171541437e-182	ISMARA- Esx1
2.18075851099681e-185	1.52340794127486	0.433	0.088	5.44971551898104e-182	Berger2008-Rhox6-4251.1
4.17726639897567e-185	1.52182572167918	0.433	0.089	1.04389887310402e-181	ISMARA- Rhox4e
4.17726639897567e-185	1.52182572167918	0.433	0.089	1.04389887310402e-181	ISMARA- Rhox6
8.80269060824176e-185	1.60860397645976	0.43	0.097	2.19979238299962e-181	Berger2008-Evx1-3952.2
8.32970175844674e-184	1.52300496258644	0.406	0.078	2.08159246943584e-180	Berger2008-Hoxa7-3750.1
9.38993913625609e-184	1.45257813126966	0.463	0.103	2.3465457901504e-180	JASPAR2022-MA1496.1
9.38993913625609e-184	1.45257813126966	0.463	0.103	2.3465457901504e-180	JASPAR2022-MA1504.1
1.63490759791588e-183	1.59547281026414	0.467	0.112	4.0856340871918e-180	Berger2008-Alx4-1744.1
1.63490759791588e-183	1.59547281026414	0.467	0.112	4.0856340871918e-180	ISMARA- Alx4
2.46444254403023e-183	1.43426155891929	0.431	0.088	6.15864191753155e-180	Berger2008-Pax6-3838.3
3.19750771470439e-183	1.557725861443	0.397	0.085	7.99057177904626e-180	Berger2008-En1-3123.2
4.34231460402359e-182	1.59063680404712	0.431	0.083	1.0851444195455e-178	Berger2008-Pou6f1-1731.2
6.70744921640387e-182	1.54523015937922	0.437	0.092	1.67619155917933e-178	Berger2008-Hoxb4-2627.1
5.94223897117901e-180	1.60658010797035	0.436	0.09	1.48496551889764e-176	JASPAR2022-MA0793.1
5.94223897117901e-180	1.60658010797035	0.436	0.09	1.48496551889764e-176	ISMARA- Pou6f2
1.24276667793833e-179	1.5391168085567	0.474	0.119	3.10567392816788e-176	Berger2008-Phox2a-3947.1
1.24276667793833e-179	1.5391168085567	0.474	0.119	3.10567392816788e-176	ISMARA- Phox2a
1.59697929603993e-179	1.56568341932642	0.465	0.109	3.99085126080378e-176	JASPAR2022-MA0853.1
3.0332239323384e-179	1.46940093669364	0.454	0.102	7.58002660691367e-176	Berger2008-Pou6f1-3733.1
3.43457074397846e-179	1.50742578401808	0.458	0.107	8.58299228920216e-176	ISMARA- Lhx2
4.194071240542e-179	1.50638655203536	0.459	0.107	1.04809840301145e-175	Berger2008-Lhx2-0953.2
6.17292061582846e-179	1.40339774327559	0.492	0.113	1.54261286189553e-175	Berger2008-Lhx6-2272.1
6.87998249801922e-177	1.64525059205157	0.359	0.075	1.719307626255e-173	JASPAR2022-MA0674.1
6.87998249801922e-177	1.64525059205157	0.359	0.075	1.719307626255e-173	ISMARA- Nkx6-1
9.02643038916036e-177	1.3592425018429	0.482	0.124	2.25570495425117e-173	JASPAR2022-MA1499.1
9.79718467836761e-177	1.52236262043699	0.417	0.098	2.44831645112407e-173	JASPAR2022-MA0628.1
1.60628331952501e-176	1.42129792597745	0.422	0.097	4.014102015493e-173	ISMARA- Lhx4
6.80679581566599e-176	1.73816153595565	0.377	0.087	1.70101827433493e-172	Berger2008-Ipf1-3815.1
1.24662747897577e-174	1.92173960569881	0.373	0.081	3.11532206996044e-171	JASPAR2022-MA0103.1
1.24662747897577e-174	1.92173960569881	0.373	0.081	3.11532206996044e-171	ISMARA- Snai1
2.30126482814343e-174	1.51713197609074	0.429	0.098	5.75086080553043e-171	Berger2008-Nkx1-2-3214.1
2.34913710634983e-174	1.51734474187975	0.428	0.098	5.87049362876822e-171	ISMARA- Nkx1-2
3.35631091967186e-174	1.67133169637483	0.353	0.074	8.38742098825997e-171	Berger2008-Prrx1-3442.1
4.73386739414805e-174	1.80818671343087	0.361	0.08	1.1829934617976e-170	JASPAR2022-MA0612.1
5.74696409676107e-174	1.52029565552981	0.386	0.082	1.43616632778059e-170	Berger2008-Alx3-3418.2
6.29492248534999e-174	1.80015707274363	0.562	0.161	1.57310112908896e-170	JASPAR2022-MA0499.2
9.54290414396655e-174	1.39841632865748	0.474	0.107	2.38477174557724e-170	Berger2008-Phox2b-3948.1
1.90532354324663e-172	1.8205107295373	0.309	0.069	4.76140353457332e-169	JASPAR2022-MA0706.1
2.74611885798137e-172	1.29493299127132	0.429	0.094	6.86255102609543e-169	ISMARA- Dbx2
2.83863183502665e-172	1.29494955472767	0.429	0.094	7.09374095573159e-169	Berger2008-Dbx2-3487.1
3.6004667561673e-172	1.39133432175421	0.474	0.107	8.99756642366208e-169	ISMARA- Phox2b
1.44051666220418e-169	1.72844159695809	0.365	0.07	3.59985113884824e-166	Berger2008-Hoxa1-3425.1
1.55935238578187e-169	1.45156890439431	0.346	0.067	3.89682161206889e-166	Berger2008-Barx2-3447.2
1.55935238578187e-169	1.45156890439431	0.346	0.067	3.89682161206889e-166	ISMARA- Barx2
2.13478432871251e-169	1.69070109589938	0.333	0.074	5.33482603745257e-166	Berger2008-Dlx1-1741.2
3.03729202768288e-169	1.40984845029789	0.382	0.095	7.59019277717952e-166	ISMARA- Lhx5
3.3099018550681e-169	1.68965629690102	0.333	0.074	8.27144473581519e-166	ISMARA- Dlx1
4.33946107481542e-169	1.5519081808046	0.385	0.09	1.08443132259637e-165	Berger2008-Vax1-3499.1
4.78615925238202e-169	1.40873786312047	0.384	0.094	1.19606119717027e-165	Berger2008-Lhx5-2279.1
5.34800095392994e-169	1.42030359057317	0.443	0.098	1.33646543838709e-165	Berger2008-Lhx9-3492.1
6.41799198245658e-169	1.41825133795887	0.461	0.112	1.6038561964159e-165	Berger2008-Uncx4.1-2281.2
1.8806204357879e-168	1.54720740951619	0.385	0.09	4.69967046903395e-165	ISMARA- Vax1
3.79502275927146e-168	1.50478127725466	0.387	0.083	9.48376187541939e-165	Berger2008-Hoxa7-2668.2
3.79502275927146e-168	1.50478127725466	0.387	0.083	9.48376187541939e-165	ISMARA- Hoxa7
7.38573798019479e-168	1.32240931590284	0.508	0.143	1.84569592125068e-164	JASPAR2022-MA1549.1
1.59517954021269e-167	1.78042184953958	0.799	0.348	3.98635367099152e-164	ISMARA- Zbtb18
4.68913332905805e-167	1.42235116097705	0.438	0.093	1.17181441893161e-163	Berger2008-Cart1-1275.1
3.40826696187668e-166	1.62831485366775	0.4	0.1	8.51725913772982e-163	JASPAR2022-MA0710.1
3.40826696187668e-166	1.62831485366775	0.4	0.1	8.51725913772982e-163	ISMARA- Noto
9.19720988439141e-166	1.4294209532111	0.428	0.104	2.29838275010941e-162	Berger2008-Prop1-3949.1
1.87206480782102e-165	1.62958470372618	0.397	0.094	4.67828995474474e-162	LHX9(Homeobox)/Hct116-LHX9.V5-ChIP-Seq(GSE116822)/Homer
3.34462462229296e-165	1.70120946399474	0.351	0.085	8.35821693111011e-162	Lhx2(Homeobox)/HFSC-Lhx2-ChIP-Seq(GSE48068)/Homer
8.87075868506212e-165	1.49119509290804	0.451	0.107	2.21680259539702e-161	Berger2008-Rax-3443.1
1.45018194530641e-164	1.43781627493336	0.352	0.079	3.62400468132072e-161	Berger2008-Hoxc6-3954.2
2.1202507470289e-164	1.45790468830734	0.433	0.101	5.29850661682522e-161	Berger2008-Shox2-2641.2
6.35015514090223e-163	1.61679384885061	0.375	0.091	1.58690376971147e-159	JASPAR2022-MA0887.1
1.33416442471784e-162	1.65017147594874	0.374	0.094	3.33407689736989e-159	JASPAR2022-MA0700.1
3.16730951724243e-162	1.52335310812845	0.381	0.094	7.91510648358884e-159	JASPAR2022-MA0893.2
3.16730951724243e-162	1.52335310812845	0.381	0.094	7.91510648358884e-159	JASPAR2022-MA0912.2
5.70117278969275e-162	1.59083015757002	0.364	0.086	1.42472308014422e-158	Lhx3(Homeobox)/Neuron-Lhx3-ChIP-Seq(GSE31456)/Homer
1.86032511795354e-161	1.59843096302691	0.376	0.091	4.6489524697659e-158	ISMARA- Evx1
2.05590073132144e-161	1.80442228098723	0.813	0.373	5.13769592757228e-158	JASPAR2022-MA0698.1
6.43517046250281e-161	1.52372492074704	0.379	0.098	1.60814909857945e-157	JASPAR2022-MA0658.1
6.43517046250281e-161	1.52372492074704	0.379	0.098	1.60814909857945e-157	ISMARA- Lhx6
1.05663669313904e-159	1.85257884222955	0.51	0.163	2.64053509615447e-156	ISMARA- Tcf12
2.53598206633669e-159	1.34934090868508	0.373	0.094	6.33741918377539e-156	Berger2008-Lhx1-2240.2
2.53598206633669e-159	1.34934090868508	0.373	0.094	6.33741918377539e-156	ISMARA- Lhx1
4.83433359253727e-159	1.47885830206011	0.388	0.094	1.20809996477506e-155	JASPAR2022-MA0703.2
1.14094772473512e-158	1.33362260575674	0.438	0.102	2.85122836411307e-155	ISMARA- Otp
1.70051282799461e-158	1.35646672495674	0.467	0.116	4.24958155715854e-155	ISMARA- Arx
2.16195674684324e-158	1.33172766766959	0.438	0.104	5.40272991036126e-155	Berger2008-Otp-3496.1
2.34715291742481e-158	1.35622673994798	0.467	0.113	5.86553514064459e-155	Berger2008-Arx-1738.2
8.63503773577444e-157	1.4507310687605	0.406	0.104	2.15789593017003e-153	Berger2008-Hlxb9-3422.1
1.13366830741168e-156	1.61831651953043	0.354	0.078	2.83303710022179e-153	Berger2008-Hoxb5-3122.2
1.59553207228699e-156	1.57252323856286	0.292	0.073	3.98723464864518e-153	Berger2008-Barhl1-2590.2
1.6651485414284e-156	1.46528761097342	0.399	0.093	4.16120620502956e-153	JASPAR2022-MA0702.1
1.6651485414284e-156	1.46528761097342	0.399	0.093	4.16120620502956e-153	JASPAR2022-MA0703.1
1.6651485414284e-156	1.46528761097342	0.399	0.093	4.16120620502956e-153	JASPAR2022-MA0702.2
1.6651485414284e-156	1.46528761097342	0.399	0.093	4.16120620502956e-153	ISMARA- Lmx1a
3.40217145831831e-156	1.39892464961027	0.429	0.108	8.50202647433744e-153	Berger2008-Pax7-3783.1
3.40217145831831e-156	1.39892464961027	0.429	0.108	8.50202647433744e-153	ISMARA- Pax7
5.76311156643142e-156	1.19545992831952	0.551	0.175	1.44020158045121e-152	JASPAR2022-MA0611.1
6.22677543480792e-156	1.34358443245186	0.434	0.119	1.5560711811585e-152	Berger2008-Lbx2-3869.2
2.59065414599132e-155	1.14974324950134	0.636	0.219	6.47404471083231e-152	JASPAR2022-MA0754.1
6.29712300094726e-155	1.73966166497464	0.517	0.164	1.57365103793672e-151	JASPAR2022-MA1620.1
6.95121314775964e-155	1.65179465836098	0.315	0.085	1.73710816562513e-151	ISMARA- Hoxd1
7.02218777101071e-155	1.41704232685455	0.458	0.107	1.75484472397558e-151	ISMARA- Prrx2
7.56060558747488e-155	1.65172099772277	0.315	0.085	1.88939533630997e-151	Berger2008-Hoxd1-3448.1
8.89467082717366e-155	1.43470297864297	0.444	0.106	2.2227782397107e-151	Lhx1(Homeobox)/EmbryoCarcinoma-Lhx1-ChIP-Seq(GSE70957)/Homer
2.58145059872698e-154	1.8444370468993	0.284	0.07	6.45104504621872e-151	JASPAR2022-MA1497.1
4.87044123852948e-154	1.59066373955609	0.348	0.091	1.21712326550852e-150	Berger2008-Hoxa2-3079.1
1.47012827940582e-153	1.53180706714331	0.383	0.1	3.67385057023514e-150	JASPAR2022-MA0888.1
1.49672598713589e-153	1.34891607656535	0.454	0.115	3.74031824185259e-150	JASPAR2022-MA0874.1
1.80881144611448e-153	1.62770593639993	0.702	0.295	4.5202198038401e-150	ISMARA- Ascl2
2.90884968846685e-153	1.38966012604945	0.432	0.112	7.26921537147866e-150	Berger2008-Prrx2-3072.1
1.62790347263703e-152	1.58723860578822	0.35	0.09	4.06813077811993e-149	JASPAR2022-MA0904.1
2.59730741729767e-152	1.44856145780672	0.411	0.108	6.49067123582687e-149	Berger2008-Og2x-3719.1
2.19043525230542e-151	1.73276300814317	0.474	0.146	5.47389769551125e-148	JASPAR2022-MA1621.1
2.90413117976214e-151	1.60035619087424	0.306	0.073	7.25742381822559e-148	JASPAR2022-MA0707.1
2.90413117976214e-151	1.60035619087424	0.306	0.073	7.25742381822559e-148	ISMARA- Mnx1
2.18954048847002e-150	1.75343526027344	0.376	0.088	5.47166168068659e-147	ISMARA- Id4
2.39590860348553e-150	1.53211413976033	0.357	0.092	5.98737560011034e-147	JASPAR2022-MA0705.1
3.09647088512448e-150	1.56059173081403	0.568	0.202	7.73808074192608e-147	Ascl2(bHLH)/ESC-Ascl2-ChIP-Seq(GSE97712)/Homer
5.56039922932518e-150	1.43489345103629	0.402	0.113	1.38954376740836e-146	Berger2008-Gbx2-3110.1
9.86283372189646e-150	1.24839560324083	0.408	0.11	2.46472214710193e-146	Berger2008-Lhx3-3431.1
1.07316765201034e-149	1.54192842695296	0.297	0.068	2.68184596237383e-146	ISMARA- Hoxc8
1.26478009392615e-149	1.54174390846252	0.298	0.07	3.16068545472144e-146	Berger2008-Hoxc8-3429.2
3.31354487082057e-149	1.18557143196162	0.51	0.159	8.2805486321806e-146	JASPAR2022-MA1608.1
6.7895915285393e-149	1.46668012967249	0.337	0.098	1.69671892298197e-145	ISMARA- Dlx4
1.47832877303774e-148	1.46548131264581	0.336	0.097	3.69434360382131e-145	Berger2008-Dlx4-3488.2
9.57572379429175e-148	1.57762507416835	0.361	0.102	2.39297337619351e-144	ISMARA- Alx3
1.00354196416025e-147	1.42581364220975	0.412	0.109	2.50785136843647e-144	ISMARA- Evx2
1.0172073363547e-147	1.42569656354916	0.412	0.109	2.54200113355039e-144	Berger2008-Evx2-2645.3
1.11921967955132e-147	1.60685799984715	0.336	0.09	2.79692997919874e-144	ISMARA- Dlx3
4.34876144847883e-147	1.19196206598094	0.554	0.187	1.08675548597486e-143	ISMARA- Hoxb6
5.22476646714282e-147	1.50918044181665	0.371	0.103	1.30566914013899e-143	JASPAR2022-MA0892.1
1.06868423142171e-146	1.50473258665608	0.371	0.105	2.67064189432284e-143	ISMARA- Gsx1
1.27444974638658e-146	1.42694283856358	0.277	0.066	3.18484991622005e-143	Berger2008-Barhl2-3868.1
1.83019741733405e-146	1.49598487726931	0.355	0.091	4.57366334591779e-143	Berger2008-Meox1-2310.2
1.83019741733405e-146	1.49598487726931	0.355	0.091	4.57366334591779e-143	ISMARA- Meox1
2.70431904441656e-146	1.48453114036553	0.374	0.106	6.75809329199698e-143	Berger2008-Gsh2-3990.2
2.70431904441656e-146	1.48453114036553	0.374	0.106	6.75809329199698e-143	ISMARA- Gsx2
2.74835015126032e-146	1.53025305142602	0.691	0.289	6.86812702799954e-143	ISMARA- Myod1
2.93174982554195e-146	1.52870666805386	0.288	0.068	7.32644281402933e-143	Berger2008-Msx3-3206.1
2.93174982554195e-146	1.52870666805386	0.288	0.068	7.32644281402933e-143	ISMARA- Msx3
3.51416229524666e-146	1.46414813877656	0.375	0.087	8.7818915758214e-143	ISMARA- Uncx
4.37371500014945e-146	1.67054886054535	0.299	0.077	1.09299137853735e-142	JASPAR2022-MA0903.1
5.13274394553696e-146	1.72319030070134	0.636	0.253	1.28267271198969e-142	JASPAR2022-MA0522.1
6.126704575308e-146	1.72711919294941	0.303	0.084	1.53106347336947e-142	JASPAR2022-MA0661.1
7.41506110873706e-146	1.73585073806638	0.768	0.344	1.85302377107339e-142	Ptf1a(bHLH)/Panc1-Ptf1a-ChIP-Seq(GSE47459)/Homer
1.02640643100051e-145	1.61037431247295	0.704	0.282	2.56498967107027e-142	JASPAR2022-MA0499.1
2.67745772588036e-145	1.53958643439032	0.384	0.093	6.69096685697502e-142	JASPAR2022-MA0894.1
2.67745772588036e-145	1.53958643439032	0.384	0.093	6.69096685697502e-142	ISMARA- Hesx1
3.63661198344746e-145	1.99861483790809	0.861	0.454	9.08789334663519e-142	JASPAR2022-MA1123.1
4.52409539613741e-144	1.52668357095424	0.35	0.084	1.13057143949474e-140	JASPAR2022-MA0718.1
4.52409539613741e-144	1.52668357095424	0.35	0.084	1.13057143949474e-140	ISMARA- Rax
6.74676113328408e-144	1.43809752431947	0.318	0.074	1.68601560720769e-140	JASPAR2022-MA0725.1
6.74676113328408e-144	1.43809752431947	0.318	0.074	1.68601560720769e-140	JASPAR2022-MA0726.1
6.74676113328408e-144	1.43809752431947	0.318	0.074	1.68601560720769e-140	ISMARA- Vsx1
1.49403683609379e-143	1.44101161714127	0.373	0.092	3.73359805339837e-140	JASPAR2022-MA1463.1
2.38189568363971e-143	1.49493736611993	0.379	0.11	5.95235731341563e-140	JASPAR2022-MA0889.1
3.64103059589569e-143	1.40043327627405	0.355	0.091	9.09893545914333e-140	Berger2008-Msx2-3449.1
3.93678105654227e-143	1.57646623535868	0.709	0.306	9.83801586029913e-140	JASPAR2022-MA0816.1
9.23134847800386e-143	1.51168813219894	0.358	0.093	2.30691398465316e-139	JASPAR2022-MA0644.1
5.24100120993597e-142	1.56186448680894	0.309	0.078	1.309726202363e-138	DLX1(Homeobox)/BasalGanglia-Dlx1-ChIP-seq(GSE124936)/Homer
5.96283336976054e-142	1.68414704116384	0.294	0.078	1.49011205910316e-138	JASPAR2022-MA0902.1
5.96283336976054e-142	1.68414704116384	0.294	0.078	1.49011205910316e-138	ISMARA- Hoxb2
8.10205122253506e-142	1.65392043077587	0.362	0.086	2.02470260051151e-138	ISMARA- Mesp1
2.83650969100975e-141	1.46517395025266	0.353	0.092	7.08843771783335e-138	JASPAR2022-MA1519.1
5.34471512908633e-141	1.52216341400032	0.344	0.09	1.33564431075867e-137	JASPAR2022-MA0075.3
5.34471512908633e-141	1.52216341400032	0.344	0.09	1.33564431075867e-137	JASPAR2022-MA0644.2
1.03155494193708e-140	1.96795843629896	0.859	0.455	2.57785579990076e-137	JASPAR2022-MA1123.2
1.14288439267904e-140	1.60549340656363	0.332	0.093	2.85606809730492e-137	JASPAR2022-MA0886.1
3.08439198746445e-140	1.58448602260415	0.73	0.322	7.70789557667365e-137	ISMARA- Tcf3
3.08439198746445e-140	1.58448602260415	0.73	0.322	7.70789557667365e-137	E2A(bHLH)/proBcell-E2A-ChIP-Seq(GSE21978)/Homer
3.49097633543849e-140	1.54205525620108	0.298	0.077	8.72394986226079e-137	Berger2008-Hoxa6-1040.1
4.07077709530102e-140	1.59490373652307	0.765	0.354	1.01728719611572e-136	Myf5(bHLH)/GM-Myf5-ChIP-Seq(GSE24852)/Homer
