p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci
0	2.09066228195532	0.986	0.839	0	Gm47283	chrY
1.08204731874797e-306	-1.22007853163516	0.974	0.988	5.96651712030816e-302	Gm28438	other
2.26527132706225e-214	1.96514100201272	0.893	0.64	1.2490932624554e-209	Erdr1	other
3.42190830676645e-196	11.3944102402811	0.568	0	1.88687445943409e-191	Hoxb3os	HoxABCD
4.1164738187428e-176	0.771898801730576	0.99	0.976	2.26986482839297e-171	Gm29216	other
5.18424000592021e-172	-1.29590953993254	0.619	0.936	2.85864178166446e-167	Ppia	other
2.47743126800451e-171	11.1214436772907	0.516	0	1.36608037549037e-166	Hoxb1	HoxABCD
1.6563794737728e-167	11.1214316564217	0.508	0	9.13344205633061e-163	Hoxb4	HoxABCD
1.39395614564868e-164	11.003085454317	0.501	0	7.68641358272136e-160	Hoxb3	HoxABCD
1.23817234310128e-163	-1.4491315869815	0.633	0.948	6.82740611709479e-159	Peg3	other
7.09119201902477e-135	-1.43289814549251	0.406	0.818	3.91015419121045e-130	Ubb	other
2.57240192643491e-123	10.7157984690554	0.404	0	1.41844814625548e-118	Hoxaas3	HoxABCD
4.93658895600009e-117	-1.05078749864324	0.647	0.935	2.72208451622801e-112	Rps6	other
1.6675264764968e-113	10.5130773306472	0.379	0	9.19490774405101e-109	Hoxb5os	HoxABCD
6.26203614199582e-113	10.4897278165494	0.377	0	3.45294934905791e-108	Hoxd4	HoxABCD
7.28279966102023e-100	-1.1633024155299	0.446	0.811	4.01580856108317e-95	Rpl15	other
1.9046532803557e-97	-1.06268657208966	0.495	0.852	1.05024486532094e-92	Eno1	other
7.61404969609347e-94	10.1524865237578	0.326	0	4.1984631429229e-89	Hoxb2	HoxABCD
1.00894917650649e-91	10.1635844928878	0.32	0	5.56344665417445e-87	Gm27477	HoxABCD
1.85295993314271e-91	10.0744865668122	0.319	0	1.02174063673422e-86	Hotairm1	HoxABCD
2.64064123113643e-89	-0.772169353357879	0.745	0.951	1.45607598126094e-84	Rpl27a	other
7.49741964651505e-83	-1.05741302174861	0.478	0.817	4.13415216728486e-78	Hspa8	other
4.0721372773226e-82	-0.930198401954525	0.616	0.897	2.24541721608846e-77	Gm10076	other
5.14591685466192e-82	9.9283317337927	0.291	0	2.83751001282913e-77	Hoxd3	HoxABCD
5.623001063852e-82	-1.59676249941045	0.098	0.38	3.10057901661863e-77	Rpl18-ps2	other
3.22355334594288e-78	0.722416471065554	0.954	0.947	1.77749955048636e-73	Rps19	other
3.80155964042072e-76	-0.857096659407333	0.603	0.888	2.09621800132439e-71	Gapdh	other
7.88416782887327e-71	-0.589401774076457	0.88	0.982	4.34740898251901e-66	Hnrnpu	other
1.69785894440283e-70	1.93507032417499	0.547	0.299	9.36216400533163e-66	Crabp1	other
3.30184968560145e-70	-1.54181949403992	0.111	0.375	1.8206729351375e-65	Frzb	other
3.14882314896807e-65	0.633640290300099	0.965	0.944	1.73629257257249e-60	Rps10	other
2.65888084156459e-64	-0.563665670566912	0.905	0.983	1.46613348484713e-59	Tpt1	other
1.14314912496086e-61	-0.865407488935036	0.46	0.775	6.30343858994668e-57	Cdx1	other
9.78096570217159e-61	-1.39661623249986	0.166	0.434	5.39332229783443e-56	Mir6236	other
1.52092886088643e-59	0.549553662696417	0.987	0.977	8.38655383181388e-55	Rps12	other
2.28120917428928e-58	-1.12667058490947	0.193	0.476	1.25788155079485e-53	Erh	other
3.99593265160684e-58	-1.71276799381731	0.079	0.286	2.20339722342253e-53	Rps6-ps4	other
3.85117215111155e-57	-0.637549876293885	0.878	0.968	2.12357483584442e-52	Fn1	other
5.22391332620821e-57	-1.54564340000828	0.061	0.254	2.88051804720447e-52	Rplp0-ps1	other
3.28339528034469e-56	-1.25490965659649	0.148	0.405	1.81049699153487e-51	Gm49708	other
4.4777169288831e-56	0.992803281607503	0.748	0.659	2.46905789175543e-51	Rps13-ps1	other
