p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci
0	-3.17415537081112	0.195	0.79	0	Pcdh19	other
0	3.20009520038397	0.603	0.115	0	Slc2a3	other
0	1.89684968683827	0.899	0.554	0	Slc2a1	other
0	-1.9164718714808	0.564	0.903	0	Fn1	other
4.68705695154367e-307	-3.07483268971638	0.137	0.603	2.5844900736507e-302	Plxna2	other
7.63487030964549e-306	1.56236360758239	0.844	0.48	4.20994383744162e-301	Grsf1	other
1.48444336454343e-224	-1.29409872716888	0.498	0.834	8.18536915642895e-220	Dll1	other
5.3625450181623e-216	-2.78498984565665	0.11	0.492	2.95696094846487e-211	Foxc1	other
4.54670430654607e-210	1.70463623649051	0.652	0.284	2.50709822167257e-205	Mob1b	other
3.18896695707118e-202	-1.15619707801598	0.675	0.876	1.75842826979862e-197	Ifitm1	other
6.58760010743907e-195	2.7444902224978	0.45	0.128	3.63246857524298e-190	Epha5	other
3.0739741661543e-192	-1.71527931083527	0.319	0.662	1.69502009495914e-187	Meis2	other
8.26863040644653e-191	2.21988139152952	0.44	0.111	4.55940549241868e-186	Wnt3a	other
1.2707124883864e-178	2.26815018576162	0.434	0.12	7.00683573221146e-174	H2-Bl	other
2.62887950288599e-172	-1.05941758724389	0.644	0.838	1.44959044668637e-167	Gpc3	other
1.211562859871e-170	1.37209446278385	0.7	0.379	6.68067876561467e-166	Fgf8	other
3.89226629460917e-167	2.3470719407	0.379	0.09	2.14623455751044e-162	Nkx1-2	other
4.82631718203578e-167	1.64429836286692	0.583	0.252	2.66127955734635e-162	T	other
1.6201952964978e-165	2.11631592260704	0.43	0.127	8.9339188844185e-161	Celsr1	other
4.97334281683026e-158	1.91708500946004	0.462	0.158	2.74235096262837e-153	Wnt8a	other
1.69747190204598e-154	-1.34717000522868	0.433	0.7	9.36002981507177e-150	Notch1	other
6.64664569457894e-148	-1.84741114921867	0.235	0.538	3.66502690244777e-143	Lrig3	other
1.62493172463036e-147	1.29839479268866	0.654	0.353	8.96003602278428e-143	Sema6a	other
1.59067209196374e-145	2.98573279216532	0.276	0.046	8.77112498229728e-141	Cdh1	other
2.17815989757247e-144	-1.14186011218859	0.534	0.754	1.20105914912044e-139	Lef1	other
1.68854495972469e-139	-1.85410577160523	0.19	0.488	9.31080576241791e-135	Rnf213	other
5.39424642871053e-138	1.90523986626339	0.414	0.137	2.97444142325527e-133	Wnt5b	other
1.10473689483541e-137	1.57842754556032	0.479	0.187	6.09162971181193e-133	Cdx2	other
2.852110882262e-132	2.27417907624648	0.338	0.091	1.57268246158809e-127	Itga6	other
5.86868658001428e-131	-0.597039419231018	0.944	0.977	3.23605246708567e-126	Prtg	other
2.74628892320357e-126	1.03816619734387	0.748	0.49	1.51433117514368e-121	Dst	other
5.47367135897269e-125	-2.08687562623783	0.147	0.424	3.01823712405113e-120	Aldh1a2	other
8.11823167083254e-125	1.74741606028817	0.404	0.14	4.47647412561377e-120	Col18a1	other
1.81028427747458e-123	2.31968617294377	0.325	0.09	9.98208853442258e-119	Epcam	other
1.44785564520915e-122	2.57429598470792	0.283	0.065	7.98362081324779e-118	Cyp26a1	other
6.55815519576773e-118	1.71909005778845	0.386	0.133	3.61623235649829e-113	Spint2	other
2.06025984144198e-114	1.59272251602338	0.402	0.148	1.13604787916952e-109	Notum	other
3.40634350605285e-113	-1.74426922781279	0.204	0.466	1.8782918726726e-108	Tenm4	other
1.71877969226117e-110	-1.42815729392066	0.311	0.562	9.4775231010973e-106	Greb1l	other
3.05777574206479e-109	1.94751918054096	0.33	0.104	1.68608812193194e-104	Slco5a1	other
1.05841157976252e-108	3.10104819006154	0.189	0.024	5.83618729196852e-104	Sema3e	other
9.88331198778399e-106	2.53604724601963	0.234	0.048	5.44975706318397e-101	Sox2	other
2.87937742684449e-104	1.58347868651238	0.427	0.184	1.58771750693632e-99	Etv4	other
4.6144908582151e-100	1.54409767800162	0.451	0.214	2.54447640412839e-95	Peg10	other
5.20159092723896e-99	1.46428830653949	0.392	0.154	2.86820925318883e-94	Lama5	other
5.14753794586956e-98	2.02923332617506	0.278	0.079	2.83840389873193e-93	Fgf4	other
6.61627015291496e-93	-1.38695733185024	0.323	0.543	3.64827752501884e-88	Maml3	other
6.02940498728546e-92	2.28856756908976	0.216	0.047	3.32467420403907e-87	Pdgfa	other
1.5583035452046e-91	-2.63185503713423	0.066	0.27	8.59264157861267e-87	Pdzrn3	other
1.15403181330743e-90	-1.1603177164443	0.408	0.609	6.36344682175848e-86	Hmga2	other
6.43476900079276e-88	1.70018756567488	0.321	0.118	3.54819597472714e-83	Frem2	other
4.31028089496602e-87	1.69188756254972	0.317	0.115	2.37673198829321e-82	Gldc	other
5.26207270797e-86	2.42062423557732	0.227	0.06	2.90155951190174e-81	Hoxb9	HoxABCD
3.44321962206719e-85	-1.14821024017859	0.351	0.571	1.89862573180407e-80	Cited1	other
4.28717613777809e-85	0.463842225942695	0.985	0.948	2.36399179413221e-80	Pabpc1	other
6.32425779551027e-85	2.61315437254328	0.186	0.036	3.48725899102232e-80	Igfbp3	other
6.84868856611316e-85	-1.53837794172556	0.201	0.424	3.77643536224046e-80	Tbx6	other
7.57153783232097e-85	0.597582952400814	0.893	0.782	4.17502167612011e-80	Cox7a2	other
1.29369553849929e-84	1.90147305342635	0.275	0.09	7.13356656883895e-80	Sp8	other
1.58288671010765e-84	0.904348238180415	0.682	0.486	8.72819560820458e-80	Gnai2	other
7.06195499641726e-83	1.5563724678804	0.423	0.21	3.89403260457444e-78	Fst	other
8.41060576936957e-83	2.56239460686794	0.179	0.034	4.63769212728808e-78	Epha2	other
2.89741955971559e-82	2.10547539619268	0.243	0.071	1.59766611942278e-77	Fgfbp3	other
3.28572748098059e-81	-1.52093443701035	0.195	0.415	1.81178299028751e-76	Smoc1	other
1.58049407665693e-79	3.0785058349619	0.14	0.017	8.71500238809397e-75	St14	other
1.7796379447789e-79	2.75014117389988	0.163	0.028	9.81310159130533e-75	Zbtb16	other
2.19298863169438e-78	-1.95256244978668	0.114	0.314	1.2092358614026e-73	Lmo2	other
9.54110195469728e-78	-1.26700142838921	0.254	0.479	5.26105902883963e-73	Crabp1	other
6.17727274386088e-77	1.36912012370726	0.357	0.153	3.40620996369233e-72	Hes1	other
4.58740215589485e-76	-2.1844621635771	0.07	0.253	2.52953942278198e-71	Pdgfra	other
7.44733016375166e-76	1.30388711359012	0.367	0.164	4.1065323255943e-71	Mcc	other
1.33730019926026e-75	3.14932597569735	0.133	0.016	7.37400702874099e-71	Pcdh1	other
1.41740015942407e-75	1.94524470932758	0.229	0.067	7.81568621908027e-71	B3gnt7	other
2.40661013689377e-75	1.51435509250234	0.31	0.121	1.3270288955846e-70	Ttc28	other
5.06681502219815e-75	1.44050618698122	0.323	0.13	2.79389247139028e-70	Epha1	other
3.72763935596527e-74	1.71945200361202	0.235	0.071	2.05545761727281e-69	Chd3	other
1.11579666945137e-72	-1.60741805527061	0.15	0.351	6.1526144150218e-68	Msgn1	other
1.62852127562285e-69	0.693343870862829	0.787	0.623	8.97982916591194e-65	Rbp1	other
2.7370559251062e-69	1.84671773488385	0.232	0.074	1.50924000766281e-64	Mgst1	other
1.2466930334888e-67	1.83821956512267	0.262	0.098	6.8743900559606e-63	Mest	other
1.80626604356752e-67	0.775018778642402	0.635	0.43	9.95993159083567e-63	Lin28a	other
8.43467813005975e-67	2.45858493961582	0.157	0.033	4.65096586769625e-62	Nt5e	other
3.90455020427342e-66	-1.47586682327341	0.179	0.372	2.15300802813841e-61	C130089K02Rik	other
5.3779635028349e-66	0.871887289383786	0.584	0.382	2.96546285509819e-61	Bex1	other
3.18924289760418e-65	2.22818735901086	0.16	0.036	1.75858042616792e-60	Fgf17	other
4.77976608584459e-64	2.29016529678715	0.168	0.041	2.63561081739556e-59	Msx1	other
4.57606313166555e-63	-1.94644399818923	0.079	0.245	2.5232869714317e-58	Fzd7	other
1.76224864369922e-62	-1.65818235625209	0.135	0.313	9.71721524622189e-58	Lama1	other
2.73057043337625e-62	-1.07020949572641	0.313	0.502	1.505663842668e-57	Epha4	other
3.33128549820554e-62	2.73817063979378	0.123	0.019	1.83690413656552e-57	Itgb8	other
2.0314759089089e-61	0.551426051276251	0.817	0.694	1.12017613093146e-56	Ptk7	other
6.26740967267434e-61	-0.996571662827625	0.402	0.568	3.45591236760936e-56	Cadm1	other
7.05655397718814e-61	-1.79790049080216	0.107	0.276	3.89105442856131e-56	Lhx1	other
9.44909303719551e-61	2.31634987349692	0.142	0.03	5.21032439163998e-56	Ttc39b	other
3.12910634596716e-60	0.955173381377159	0.452	0.254	1.72542053022975e-55	Dlg1	other
6.82096332784996e-60	2.80505930459675	0.116	0.017	3.76114738860975e-55	F2rl1	other
6.99729980061306e-60	1.35714148078158	0.291	0.126	3.85838108305605e-55	Lhpp	other
1.24904221712721e-59	1.80422531132009	0.18	0.051	6.88734368946114e-55	Nup210	other
3.88469679373628e-59	-1.98360854887364	0.097	0.26	2.14206065903412e-54	Phlda2	other
6.43137565142929e-59	2.9363372138718	0.107	0.014	3.54632484795463e-54	Esrp1	other
2.73751094754836e-58	2.95740198004051	0.117	0.019	1.50949091158764e-53	Cdx4	other
3.66643978319056e-58	1.34373774360001	0.263	0.105	2.02171156084911e-53	Spint1	other
1.7428873703804e-57	2.82907930227291	0.112	0.017	9.61045524901458e-53	Lratd2	other
1.75525689384882e-57	1.64954823414607	0.224	0.08	9.6786620383718e-53	Defa30	other
2.66187788885903e-57	2.6859525352311	0.121	0.021	1.46778608669576e-52	Ttyh1	other
2.07867720057439e-55	0.850866803017297	0.473	0.279	1.14620339516873e-50	Ccnd1	other
2.14682321019966e-54	-1.88993667081054	0.065	0.211	1.18377978633619e-49	Hoxd3	HoxABCD
8.18914916783298e-54	2.00035924809919	0.159	0.044	4.51557874263479e-49	Dclk2	other
1.56849181800021e-53	1.22551855776926	0.289	0.129	8.64882073363494e-49	Map1b	other
1.31192654269894e-51	0.685394893353618	0.605	0.415	7.23409414909622e-47	Arid3b	other
1.32885799967201e-51	1.53804113429176	0.201	0.071	7.32745589599144e-47	Rarg	other
1.42710267026767e-51	1.65741397931195	0.185	0.061	7.86918683412294e-47	Hook1	other
1.64101985527534e-51	-1.41072542514336	0.161	0.326	9.04874758397377e-47	Pik3c2b	other
3.1105706578506e-51	2.318563302908	0.112	0.021	1.7151997664454e-46	Sema4d	other
3.19023670355825e-51	1.20084399333778	0.288	0.133	1.75912842070905e-46	Cxxc5	other
7.85778494019334e-51	1.4121230847911	0.224	0.088	4.33286119387201e-46	Ezr	other
1.43335488269491e-50	-1.2081277214172	0.268	0.429	7.90366215866798e-46	Hipk2	other
2.77741634833129e-50	-0.865235841092697	0.388	0.542	1.53149514863336e-45	Fgfr1	other
4.10098812527968e-50	1.18593650737121	0.318	0.159	2.26132586216047e-45	Apoe	other
1.46625160737004e-49	1.3700255144243	0.222	0.087	8.08505798819912e-45	Pml	other
1.81802131953526e-49	1.13386176449826	0.297	0.141	1.00247513580494e-44	Ppp1r9a	other
3.01290775122351e-49	-0.811928387899379	0.479	0.611	1.66134746310216e-44	Tle4	other
6.81262326244187e-49	-2.46329391102225	0.031	0.148	3.75654859314307e-44	Nkd2	other
3.76435012276006e-48	-2.06960870980509	0.056	0.184	2.07570030119112e-43	Frzb	other
4.3271407419817e-48	1.55997540603898	0.16	0.048	2.38602867653613e-43	Aqp11	other
8.56735796242456e-48	0.797099665954246	0.481	0.302	4.72412685406052e-43	Greb1	other
9.08984913166328e-48	1.67613924877575	0.165	0.052	5.01223370969045e-43	A830018L16Rik	other
1.25402093500895e-47	2.4541594062781	0.1	0.017	6.91479683773286e-43	Cdh6	other
2.19869616343225e-47	1.13855354789452	0.301	0.148	1.21238305147818e-42	Tspan13	other
3.96147103877038e-47	2.79310168412421	0.105	0.02	2.18439474548838e-42	Psd2	other
1.14134354244471e-46	1.61794132422576	0.177	0.062	6.2934824273944e-42	Srcin1	other
1.82405287310247e-46	1.88684981881539	0.142	0.04	1.00580099475743e-41	Psd3	other
9.23234489036338e-46	-2.16309687912247	0.049	0.169	5.09080729599527e-41	Synm	other
1.27177294063193e-45	0.718625718267512	0.536	0.357	7.01268317193851e-41	Il17rd	other
1.49522428775398e-45	-3.28762242724928	0.017	0.115	8.24481624510424e-41	Gm38036	other
4.87366775752324e-45	0.789267110969408	0.491	0.323	2.68738913817589e-40	Zfp36l1	other
1.44114144673558e-44	0.984343676373592	0.352	0.194	7.94659805144467e-40	Zfp36l2	other
2.2138594670771e-44	1.88364422661031	0.145	0.044	1.22074424874098e-39	Spred3	other
5.05923346852504e-44	-0.638832710732064	0.589	0.692	2.78971192687939e-39	Ctsl	other
6.93964911109403e-44	-2.3181091028964	0.039	0.151	3.82659191634836e-39	Meis1	other
1.03043035500017e-43	1.39395329781773	0.182	0.067	5.68189602050646e-39	Acot7	other
2.3986152730527e-43	-2.9087395418305	0.019	0.116	1.32262044771399e-38	9530086O07Rik	other
2.93888735583863e-43	-1.34799824017878	0.16	0.306	1.62053187688298e-38	Lrig1	other
2.01118815281526e-42	1.40444734663861	0.212	0.091	1.10898925934386e-37	Hoxb8	HoxABCD
2.27444233098388e-42	-1.17415772583419	0.228	0.375	1.25415024572782e-37	Gpc6	other
3.12873829323832e-42	1.50569459388384	0.178	0.066	1.72521758227454e-37	Evx1	other
7.92269213343683e-42	2.21238877662448	0.106	0.024	4.3686516692984e-37	Grik3	other
8.6550763617604e-42	1.21879869204779	0.227	0.1	4.7724956566383e-37	Dusp4	other
9.10704118985568e-42	1.02250401595195	0.312	0.166	5.02171358249832e-37	Chic1	other
1.53717010576857e-41	0.570563039148328	0.714	0.594	8.47610968021848e-37	Eno1	other
2.70518241335404e-41	2.57180284359571	0.087	0.015	1.49166463454755e-36	Mbp	other
8.13278932533023e-41	2.91179645301024	0.081	0.013	4.48450136188034e-36	Pgr	other
1.41470106938352e-40	-2.77292283389659	0.024	0.119	7.80080316668764e-36	Ism1	other
4.10649476835371e-40	1.05657615884564	0.311	0.17	2.26436228021792e-35	Fbxl14	other
1.54056893582725e-39	-2.7553845231936	0.025	0.12	8.49485116904503e-35	Kcnh7	other
2.97051601915821e-39	2.44129682664436	0.095	0.02	1.63797223812403e-34	Hoxc8	HoxABCD
4.24267583534969e-39	0.607063092533514	0.527	0.357	2.33945388237017e-34	Ier2	other
4.32486826430783e-39	-1.26756015155115	0.164	0.303	2.38477560962198e-34	Arhgap28	other
5.02502855767228e-39	2.13470004279677	0.107	0.027	2.77085099698607e-34	Amph	other
7.95332711718747e-39	1.26504773693548	0.22	0.1	4.38554410568834e-34	Dipk2a	other
8.87643639624476e-39	-1.95885570159309	0.064	0.176	4.89455579325332e-34	Pcolce2	other
9.86140516719809e-39	-2.34850136848072	0.042	0.144	5.4376774232447e-34	Cnr1	other
3.66245311033541e-38	1.9325813407916	0.111	0.029	2.01951326957005e-33	Lima1	other
4.71890482947122e-38	4.64792492280647	0.056	0.004	2.60205131201873e-33	Gm43523	other
5.13606042530022e-38	2.86219268156063	0.081	0.015	2.83207507911479e-33	Hoxc6	HoxABCD
7.55021038130193e-38	1.47236534445019	0.17	0.066	4.1632615063537e-33	Pim1	other
8.04761210280147e-38	1.12248190744466	0.231	0.108	4.43753378960576e-33	Rgs12	other
