p_val	avg_diff	pct.1	pct.2	p_val_adj	name
4.15887512430938e-234	2.38543511994062	0.323	0.014	1.03930289356491e-230	ISMARA- Hoxb1
3.29292664548788e-224	2.87524337049105	0.28	0.012	8.22902368707421e-221	HOXA1(Homeobox)/mES-Hoxa1-ChIP-Seq(SRP084292)/Homer
4.33788163258139e-213	2.80365267797033	0.275	0.014	1.08403661998209e-209	HOXA2(Homeobox)/mES-Hoxa2-ChIP-Seq(Donaldson-et-al.)/Homer
5.20236948472651e-213	2.80447247376966	0.276	0.012	1.30007213423316e-209	ISMARA- Hoxa2
2.09989167301593e-211	2.09438744845702	0.44	0.032	5.24762929086681e-208	ISMARA- Hoxa1
3.07993206113545e-197	1.8899223372125	0.413	0.042	7.69675022077748e-194	JASPAR2022-MA0070.1
5.43599469715501e-194	2.24547984601077	0.312	0.03	1.35845507481904e-190	Hoxb4(Homeobox)/ES-Hoxb4-ChIP-Seq(GSE34014)/Homer
3.29071155248213e-192	2.22281605933168	0.308	0.03	8.22348816965283e-189	ISMARA- Hoxb4
7.72646226268593e-190	2.33577593464591	0.276	0.018	1.93084291944521e-186	Pdx1(Homeobox)/Islet-Pdx1-ChIP-Seq(SRA008281)/Homer
3.25724971417198e-186	2.28738966154072	0.28	0.018	8.13986703571578e-183	ISMARA- Pdx1
2.33881351880926e-143	1.35947175685814	0.354	0.067	5.84469498350435e-140	Berger2008-Pbx1-3203.1
2.06276151361378e-91	1.46163129998333	0.325	0.091	5.15484102252082e-88	JASPAR2022-MA1639.1
5.06308193109569e-58	0.752478733061098	0.429	0.186	1.26526417458081e-54	ISMARA- Cux1
1.53979655556744e-52	0.869216759447839	0.446	0.221	3.84795159236304e-49	ISMARA- Hoxb8
6.89891747109687e-52	0.776050595667673	0.59	0.333	1.72403947602711e-48	ISMARA- Pbx2
1.80411131257624e-48	0.730789468876973	0.665	0.415	4.50847417012804e-45	Pax7(Paired,Homeobox)/Myoblast-Pax7-ChIP-Seq(GSE25064)/Homer
1.28169710025471e-45	0.671870582151558	0.542	0.285	3.20296105353653e-42	Cux2(Homeobox)/Liver-Cux2-ChIP-Seq(GSE35985)/Homer
1.28884470810366e-43	0.671870188923286	0.684	0.426	3.22082292555104e-40	JASPAR2022-MA0611.1
6.36828172144027e-42	0.766966204249782	0.088	0.034	1.59143360218792e-38	JASPAR2022-MA1487.2
5.30800406308235e-41	0.867470474369756	0.242	0.117	1.32647021536428e-37	ZBTB18(Zf)/HEK293-ZBTB18.GFP-ChIP-Seq(GSE58341)/Homer
4.31882323420074e-39	0.840552885042574	0.253	0.137	1.07927392622676e-35	ISMARA- Zbtb18
1.66748079149572e-37	0.577239688766882	0.506	0.275	4.1670344979478e-34	JASPAR2022-MA0754.1
8.87158506768778e-37	0.722137382948429	0.102	0.047	2.21700910841518e-33	JASPAR2022-MA1487.1
9.20363155104176e-37	0.855180223682667	0.247	0.136	2.29998752460534e-33	JASPAR2022-MA0698.1
1.28562346696912e-36	0.689235008327475	0.087	0.04	3.21277304395583e-33	FoxD3(forkhead)/ZebrafishEmbryo-Foxd3.biotin-ChIP-seq(GSE106676)/Homer
2.6972049935046e-36	0.619085868518618	0.159	0.072	6.74031527876799e-33	ISMARA- Foxm1
2.99986882659746e-36	0.773635619117801	0.301	0.161	7.49667219766705e-33	JASPAR2022-MA0521.1
8.01346066338535e-36	-0.923299925117367	0.636	0.791	2.00256381978e-32	JASPAR2022-MA0485.1
2.95744790522887e-35	0.90535556516377	0.117	0.081	7.39066231516694e-32	JASPAR2022-MA1123.2
6.32395576747745e-35	0.892485475105249	0.108	0.079	1.58035654629261e-31	JASPAR2022-MA1123.1
2.2530699206002e-34	-0.835966222555393	0.836	0.904	5.6304217315799e-31	ISMARA- Hoxa10
7.23883979564988e-34	0.519318956371819	0.224	0.116	1.80898606493291e-30	JASPAR2022-MA0095.1
7.23883979564988e-34	0.519318956371819	0.224	0.116	1.80898606493291e-30	ISMARA- Yy1
8.02113585654391e-32	0.434495859024756	0.546	0.348	2.00448185055032e-28	JASPAR2022-MA0035.1
1.67029318369946e-31	0.590135028176386	0.122	0.069	4.17406266606495e-28	ISMARA- Foxo3
4.7293547647937e-31	0.726686271588064	0.262	0.152	1.18186575572194e-27	MyoG(bHLH)/C2C12-MyoG-ChIP-Seq(GSE36024)/Homer
5.70459217604598e-31	0.581382610484573	0.194	0.092	1.42557758479389e-27	JASPAR2022-MA0041.2
5.75483334013775e-30	0.662386905051499	0.517	0.334	1.43813285170042e-26	JASPAR2022-MA0499.1
1.99082635438327e-29	0.61160033978315	0.821	0.649	4.9750750596038e-26	ISMARA- Pou4f2
2.98368171538586e-29	0.693671536239674	0.297	0.177	7.45622060674926e-26	JASPAR2022-MA0500.1
3.5882363858689e-29	0.519162694936297	0.518	0.343	8.96700272828637e-26	ISMARA- Bhlhe40
6.46340484199749e-29	0.503667667370259	0.539	0.355	1.61520487001517e-25	JASPAR2022-MA0464.2
1.31921450831122e-28	0.597226242203305	0.233	0.156	3.29671705626974e-25	JASPAR2022-MA1485.1
1.36057308048166e-28	0.899176332885305	0.12	0.076	3.40007212812366e-25	BHLHA15(bHLH)/NIH3T3-BHLHB8.HA-ChIP-Seq(GSE119782)/Homer
2.08871892462419e-28	0.534138453020927	0.522	0.326	5.21970859263586e-25	JASPAR2022-MA0692.1
2.08871892462419e-28	0.534138453020927	0.522	0.326	5.21970859263586e-25	ISMARA- Tfeb
2.53586189483451e-28	0.666014251920959	0.289	0.18	6.33711887519143e-25	SCL(bHLH)/HPC7-Scl-ChIP-Seq(GSE13511)/Homer
3.57284600721719e-28	0.612100820485923	0.836	0.642	8.92854217203575e-25	ISMARA- Nkx6-3
3.6267445345474e-28	0.515577452858231	0.472	0.287	9.06323459183395e-25	JASPAR2022-MA0755.1
3.6267445345474e-28	0.515577452858231	0.472	0.287	9.06323459183395e-25	ISMARA- Cux2
3.77530516212233e-28	0.611544841517459	0.836	0.644	9.4344876001437e-25	Berger2008-Nkx6-3-3446.1
6.04800918479129e-28	0.681307303791618	0.311	0.194	1.51139749527934e-24	Myf5(bHLH)/GM-Myf5-ChIP-Seq(GSE24852)/Homer
6.05210951761875e-28	0.56218322791437	0.192	0.096	1.51242216845293e-24	JASPAR2022-MA0041.1
8.84057339591464e-28	0.507697369362093	0.509	0.333	2.20925929163907e-24	JASPAR2022-MA0831.1
8.89449339069085e-28	0.692073259060075	0.321	0.207	2.22273389833364e-24	Ptf1a(bHLH)/Panc1-Ptf1a-ChIP-Seq(GSE47459)/Homer
1.28466691500962e-27	0.903708369398455	0.104	0.076	3.21038262060903e-24	TCF4(bHLH)/SHSY5Y-TCF4-ChIP-Seq(GSE96915)/Homer
2.43688474549605e-27	0.560828000656971	0.78	0.583	6.08977497899464e-24	JASPAR2022-MA1549.1
3.7563217583144e-27	0.520870164186726	0.564	0.369	9.38704807402769e-24	JASPAR2022-MA0831.2
3.87086709238628e-27	0.583309987821296	0.109	0.075	9.67329686387332e-24	JASPAR2022-MA0847.3
4.37638585160675e-27	0.617961835984539	0.853	0.659	1.09365882431653e-23	Berger2008-Nkx6-1-2825.1
1.44351008510412e-26	0.954621181952353	0.075	0.054	3.6073317026752e-23	JASPAR2022-MA1618.1
1.5676109696619e-26	0.510646029405946	0.466	0.287	3.91745981318509e-23	ISMARA- Usf1
1.64926282217473e-26	0.671980008297362	0.349	0.213	4.12150779261464e-23	Tcf12(bHLH)/GM12878-Tcf12-ChIP-Seq(GSE32465)/Homer
1.91532793826462e-26	0.717711169190102	0.261	0.169	4.78640451772328e-23	Tcf21(bHLH)/ArterySmoothMuscle-Tcf21-ChIP-Seq(GSE61369)/Homer
2.45271585922763e-26	0.56248901859199	0.106	0.054	6.12933693220986e-23	ISMARA- Foxf1
3.3017337767985e-26	0.6799241082315	0.291	0.174	8.25103270821944e-23	JASPAR2022-MA1619.1
4.32378460356389e-26	0.475274075617562	0.424	0.262	1.08051377243062e-22	Srebp2(bHLH)/HepG2-Srebp2-ChIP-Seq(GSE31477)/Homer
8.07491272353365e-26	0.73106127259479	0.194	0.128	2.01792068961106e-22	Twist2(bHLH)/Myoblast-Twist2.Ty1-ChIP-Seq(GSE127998)/Homer
1.03690312660933e-25	0.496094648541922	0.545	0.364	2.59122091339671e-22	JASPAR2022-MA0093.2
1.13766472586455e-25	0.547286307296761	0.187	0.131	2.84302414993551e-22	JASPAR2022-MA0481.1
1.24812267161658e-25	0.563553353093384	0.156	0.09	3.11905855636984e-22	ISMARA- Tgif1
