p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci
4.46042097899618e-275	2.10311902966882	0.986	0.868	2.45952073202828e-270	Gm47283	chrY
8.3013665007492e-235	-1.23403788176541	0.984	0.99	4.57745650217812e-230	Gm28438	other
4.76417691274442e-194	11.5217226799373	0.648	0	2.6270147914564e-189	Hoxaas3	HoxABCD
1.58085479257518e-163	2.02678010955779	0.89	0.656	8.71699141173882e-159	Erdr1	other
1.7058561731993e-154	9.74362209045319	0.552	0.001	9.40626152463825e-150	Hoxb5os	HoxABCD
7.60770893313556e-134	10.870578561645	0.495	0	4.19496678282028e-129	Hoxb4	HoxABCD
3.89235585974078e-133	10.7464865306818	0.493	0	2.14628394461966e-128	Hoxb1	HoxABCD
4.55946295258248e-133	-1.28750543933351	0.632	0.959	2.5141334666835e-128	Ppia	other
6.96498489617862e-128	0.77000078232107	0.995	0.989	3.84056232160186e-123	Gm29216	other
2.62959814374987e-124	10.5979983989989	0.468	0	1.44998671244512e-119	Hoxb3	HoxABCD
2.63279920557678e-117	10.6081133348611	0.448	0	1.45175180994709e-112	Hoxb3os	HoxABCD
4.98556852467767e-89	10.1576133175191	0.359	0	2.74909234019251e-84	Hoxb9	HoxABCD
6.87225087338249e-89	-1.06432492658607	0.599	0.91	3.78942785409184e-84	Eno1	other
1.89587086433097e-86	10.048913677592	0.351	0	1.04540215330074e-81	Hoxb2	HoxABCD
3.17796888192944e-85	-1.52089452932686	0.291	0.715	1.75236382118471e-80	Snhg3	other
3.81403767237909e-82	9.94081802237759	0.336	0	2.10309851292655e-77	Hoxb8	HoxABCD
4.86467732942796e-76	-0.98833452628063	0.694	0.944	2.68243172621987e-71	Rps6	other
2.15072829455297e-72	-1.06093469774718	0.47	0.847	1.18593308889945e-67	Ubb	other
6.44638710613038e-72	0.784424458071103	0.967	0.961	3.55460231419136e-67	Rps19	other
1.49586201418006e-69	-0.913236800149947	0.631	0.928	8.24833273239024e-65	Gapdh	other
3.67974557151032e-69	-1.09356088948872	0.475	0.839	2.02904850558651e-64	Rpl15	other
3.23807216223699e-68	-1.93279698807622	0.106	0.427	1.7855053709791e-63	Defa30	other
4.76356705044788e-68	9.6900414502243	0.286	0	2.62667850728747e-63	Hotairm1	HoxABCD
1.07562653877394e-65	-0.707762823833905	0.774	0.968	5.93111229745339e-61	Rpl27a	other
5.25728042974237e-63	9.68007851662205	0.268	0	2.89891700176424e-58	Hoxd4	HoxABCD
1.22725216253991e-62	-1.63895391832646	0.111	0.421	6.76719114946132e-58	Rpl18-ps2	other
1.78710895598156e-59	9.4985552599554	0.255	0	9.85429749417792e-55	Gm27477	HoxABCD
5.9599548981767e-59	-0.606487677329911	0.888	0.991	3.28637873040361e-54	Hnrnpu	other
4.215248212891e-58	0.684160667641505	0.964	0.968	2.32433001707022e-53	Rps10	other
1.50914678795196e-57	-1.00326938774182	0.513	0.837	8.32158630344588e-53	Hspa8	other
2.57995731372914e-53	1.03836250550329	0.769	0.701	1.42261426236339e-48	Rps13-ps1	other
7.90363239303149e-52	0.784633980547415	0.876	0.842	4.35814193784149e-47	Gm11942	other
6.36824016812144e-50	-0.846628569688874	0.516	0.841	3.51151131110384e-45	Cdx1	other
3.95631888168442e-49	-0.819071313173499	0.633	0.911	2.18155379454961e-44	Gm10076	other
6.75858260453094e-49	-1.28710223942371	0.162	0.459	3.72675003396441e-44	Mir6236	other
2.16766700350725e-48	9.11807673554996	0.212	0	1.19527326240393e-43	Hoxc4	HoxABCD
3.94474769650745e-48	2.93940249592306	0.346	0.095	2.17517332733118e-43	Crabp1	other
7.13125478929632e-48	0.551763209388941	0.986	0.99	3.93224520336588e-43	Rps12	other
8.86184977170705e-48	0.603331790350239	0.964	0.969	4.88651258261698e-43	Rpl23a	other
1.18520498701502e-47	-0.756610388193648	0.602	0.883	6.53533881889951e-43	Peg3	other
