Ens_ID	ActA_wt_96h_rep1	ActA_wt_96h_rep2	ActA_BADC_96h_rep1	ActA_BADC_96h_rep2	ActA_wt_120h_rep1	ActA_wt_120h_rep2	ActA_BADC_120h_rep1	ActA_BADC_120h_rep2
ENSMUSG00000000001	6520	7420	6059	4152	1836	1661	2401	2114
ENSMUSG00000000003	0	0	0	0	0	0	0	0
ENSMUSG00000000028	1379	1447	1399	945	546	585	889	810
ENSMUSG00000000031	233	236	902	505	2560	2527	26440	25049
ENSMUSG00000000037	778	799	984	722	88	64	90	74
ENSMUSG00000000049	0	0	0	0	0	0	0	0
ENSMUSG00000000056	1043	1197	790	581	474	526	479	414
ENSMUSG00000000058	2	9	6	2	8	3	3	1
ENSMUSG00000000078	1597	1995	1656	1051	358	397	390	346
ENSMUSG00000000085	574	603	459	339	287	292	385	346
ENSMUSG00000000088	4751	5588	5071	3570	1588	1611	1952	1694
ENSMUSG00000000093	7	13	8	6	92	87	43	36
ENSMUSG00000000094	16	16	19	11	4	1	6	11
ENSMUSG00000000103	0	0	0	0	0	0	0	0
ENSMUSG00000000120	249	257	266	191	192	199	1360	1294
ENSMUSG00000000125	909	1042	686	438	22	29	63	60
ENSMUSG00000000126	52	55	92	55	38	41	26	23
ENSMUSG00000000127	527	622	503	384	108	139	147	185
ENSMUSG00000000131	5779	6462	6328	4555	1571	1466	2201	2087
ENSMUSG00000000134	2142	2446	2003	1579	567	522	594	554
ENSMUSG00000000142	2967	3211	3083	2236	463	461	2005	1818
ENSMUSG00000000148	404	459	376	234	335	289	321	315
ENSMUSG00000000149	2560	2808	2223	1649	1074	1102	1508	1439
ENSMUSG00000000154	53	68	3	2	18	14	2	0
ENSMUSG00000000157	5	2	1	0	6	5	14	18
ENSMUSG00000000159	0	0	1	0	5	6	5	1
ENSMUSG00000000167	132	185	89	60	47	48	56	44
ENSMUSG00000000168	2410	2851	2311	1676	550	577	938	951
ENSMUSG00000000171	5650	6248	5426	3770	1907	1875	1794	1677
ENSMUSG00000000182	1	4	6	0	1	1	2	2
ENSMUSG00000000183	3	0	0	0	1	0	3	0
ENSMUSG00000000184	4796	5391	7741	5895	2018	1970	2178	1978
ENSMUSG00000000194	1528	1648	1503	945	666	600	784	706
ENSMUSG00000000197	36	37	36	23	8	6	1	1
ENSMUSG00000000202	49	53	23	22	103	98	16	11
ENSMUSG00000000204	0	0	0	0	1	0	0	0
ENSMUSG00000000214	6	11	6	1	9	7	4	3
ENSMUSG00000000215	0	0	0	0	1	0	1	0
ENSMUSG00000000216	1	0	0	0	0	0	0	0
