Ens_ID	wt_120h_rep1	wt_120h_rep2	ActA_wt_120h_rep1	ActA_wt_120h_rep2	ActA_wt_96h_rep1	ActA_wt_96h_rep2	wt_96h_rep1	wt_96h_rep2
ENSMUSG00000000001	2543	1852	1836	1661	6520	7420	5466	7726
ENSMUSG00000000003	0	0	0	0	0	0	0	0
ENSMUSG00000000028	924	755	546	585	1379	1447	1481	2185
ENSMUSG00000000031	2895	2069	2560	2527	233	236	5062	5073
ENSMUSG00000000037	45	30	88	64	778	799	178	230
ENSMUSG00000000049	0	0	0	0	0	0	0	0
ENSMUSG00000000056	624	529	474	526	1043	1197	704	970
ENSMUSG00000000058	3	6	8	3	2	9	1	1
ENSMUSG00000000078	346	290	358	397	1597	1995	773	1111
ENSMUSG00000000085	363	293	287	292	574	603	828	1045
ENSMUSG00000000088	2088	1707	1588	1611	4751	5588	3676	5780
ENSMUSG00000000093	136	105	92	87	7	13	59	48
ENSMUSG00000000094	6	3	4	1	16	16	5	16
ENSMUSG00000000103	0	1	0	0	0	0	0	1
ENSMUSG00000000120	223	148	192	199	249	257	385	468
ENSMUSG00000000125	9	12	22	29	909	1042	22	45
ENSMUSG00000000126	62	58	38	41	52	55	70	139
ENSMUSG00000000127	175	122	108	139	527	622	374	562
ENSMUSG00000000131	1936	1594	1571	1466	5779	6462	5341	7585
ENSMUSG00000000134	624	528	567	522	2142	2446	1211	1795
ENSMUSG00000000142	1248	1052	463	461	2967	3211	4470	6258
ENSMUSG00000000148	349	312	335	289	404	459	413	600
ENSMUSG00000000149	1368	1030	1074	1102	2560	2808	2289	3385
ENSMUSG00000000154	0	2	18	14	53	68	20	32
ENSMUSG00000000157	2	5	6	5	5	2	11	22
ENSMUSG00000000159	29	16	5	6	0	0	6	2
ENSMUSG00000000167	51	40	47	48	132	185	74	106
ENSMUSG00000000168	973	839	550	577	2410	2851	2042	2923
ENSMUSG00000000171	2331	1746	1907	1875	5650	6248	3280	5310
ENSMUSG00000000182	1	0	1	1	1	4	1	0
ENSMUSG00000000183	0	2	1	0	3	0	0	1
ENSMUSG00000000184	2806	2166	2018	1970	4796	5391	7491	10987
ENSMUSG00000000194	769	662	666	600	1528	1648	1252	1800
ENSMUSG00000000197	8	7	8	6	36	37	8	21
ENSMUSG00000000202	24	18	103	98	49	53	37	33
ENSMUSG00000000204	0	0	1	0	0	0	0	1
ENSMUSG00000000214	3	0	9	7	6	11	2	0
ENSMUSG00000000215	1	2	1	0	0	0	2	3
ENSMUSG00000000216	1	1	0	0	1	0	0	0
ENSMUSG00000000223	55	60	51	54	32	51	55	54
ENSMUSG00000000244	0	4	3	2	3	1	0	1
ENSMUSG00000000247	5	4	10	7	18	19	57	80
ENSMUSG00000000248	0	0	0	0	0	0	0	0
ENSMUSG00000000253	49	34	57	36	147	156	104	183
ENSMUSG00000000263	2	0	6	1	20	23	1	2
ENSMUSG00000000266	20	18	22	19	69	54	96	115
ENSMUSG00000000275	140	123	264	254	3886	3958	977	1630
ENSMUSG00000000276	135	115	233	209	662	759	600	906
ENSMUSG00000000278	1178	902	824	826	1984	2227	2019	2969
ENSMUSG00000000282	458	372	684	607	1480	1597	1751	2377
ENSMUSG00000000290	1	4	6	6	37	37	28	38
ENSMUSG00000000295	432	334	304	313	646	715	497	739
ENSMUSG00000000296	112	72	139	125	469	570	209	328
ENSMUSG00000000301	79	57	62	74	157	173	123	213
ENSMUSG00000000303	303	227	1432	1469	9184	11116	1791	2917
ENSMUSG00000000305	266	172	150	163	470	500	250	397
ENSMUSG00000000308	13	9	14	9	171	204	88	155
ENSMUSG00000000317	16	7	11	19	121	113	21	55
ENSMUSG00000000318	1	1	3	0	2	2	1	0
ENSMUSG00000000320	3	6	6	5	62	87	23	27
ENSMUSG00000000325	855	694	794	789	892	1096	991	1429
ENSMUSG00000000326	308	223	328	333	939	1124	445	617
ENSMUSG00000000339	732	583	451	499	1418	1609	1323	1855
ENSMUSG00000000340	402	307	229	269	848	966	726	1077
ENSMUSG00000000346	1764	1238	1081	944	3517	3999	3491	5408
ENSMUSG00000000355	314	309	289	279	812	845	570	812
ENSMUSG00000000359	0	0	0	0	1	2	0	0
ENSMUSG00000000365	46	40	18	23	160	188	133	219
ENSMUSG00000000374	556	507	470	488	798	837	847	1167
ENSMUSG00000000378	657	481	385	368	715	902	719	1006
ENSMUSG00000000381	0	0	0	0	0	0	0	0
ENSMUSG00000000384	1342	1067	1138	1209	3117	3428	2987	4614
ENSMUSG00000000385	145	114	543	501	950	1073	401	546
ENSMUSG00000000386	0	0	1	0	10	17	0	4
ENSMUSG00000000392	495	392	14	16	2	1	1	1
ENSMUSG00000000394	0	0	0	0	0	0	0	0
