p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci
2.44677668152758e-100	8.37191168927471	0.859	0.007	7.97428988276653e-96	Hoxb5os	HoxABCD
2.34328610301962e-90	7.28012202055299	0.802	0.01	7.63700373835125e-86	Hotairm1	HoxABCD
5.47059251449934e-81	-0.73073014572461	1	1	1.78292080640048e-76	Rps14	other
1.02892823897187e-78	2.7437136420672	0.995	0.767	3.35338002363322e-74	Gm47283	chrY
1.68135179570249e-69	7.60233606217275	0.641	0.005	5.47969363737398e-65	Hoxa7	HoxABCD
7.97008136609685e-68	6.33590606904623	0.646	0.013	2.59752921802462e-63	Hoxb9	HoxABCD
2.07775466908514e-64	7.01104686385907	0.604	0.005	6.77161024201537e-60	Hoxb1	HoxABCD
9.91398935069943e-61	7.2310686147671	0.573	0.005	3.23106826928645e-56	Hoxb3os	HoxABCD
5.8965969923618e-60	5.68586601456463	0.594	0.015	1.92175992578064e-55	Hoxb8	HoxABCD
7.39019891118179e-57	7.6442981757851	0.536	0.002	2.40853972714326e-52	Hoxb4	HoxABCD
2.42908823314204e-56	6.09033956149019	0.562	0.015	7.91664146063321e-52	Hoxaas3	HoxABCD
4.88403174220996e-54	6.97579187298589	0.516	0.002	1.59175478510365e-49	Hoxb2	HoxABCD
4.80499541328613e-51	-2.87844640480342	0.286	0.88	1.56599605514408e-46	H19	other
9.92831572329017e-51	8.36072433959045	0.479	0	3.2357373773775e-46	Hoxd4	HoxABCD
1.21536249628437e-44	7.98561586811547	0.427	0	3.96098791164039e-40	Hoxb3	HoxABCD
3.99819642406734e-40	5.83104902899053	0.411	0.007	1.30305219656779e-35	Gm27477	HoxABCD
1.0426550575553e-30	5.81097211386285	0.318	0.005	3.39811709807848e-26	Hoxc8	HoxABCD
1.01260867288866e-29	7.4392813696241	0.292	0	3.30019292581145e-25	Hoxa5	HoxABCD
1.14594686335275e-29	-0.321429573238881	1	1	3.73475542235293e-25	Rps20	other
2.78176820086688e-29	6.8092190297899	0.302	0.005	9.06606074344525e-25	Grb10	other
2.52531201052414e-28	5.27654372319069	0.297	0.005	8.23024437349922e-24	Hoxc9	HoxABCD
