p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci
5.27321000272517e-195	8.75483741505879	0.98	0.019	1.71859187198816e-190	Hoxaas3	HoxABCD
2.28915289025568e-187	8.86400147946162	0.949	0.007	7.46057818463229e-183	Hoxb5os	HoxABCD
5.46748505854217e-176	8.15863015996853	0.911	0.007	1.78190805542948e-171	Hoxc9	HoxABCD
2.10361254020726e-158	7.45553999382648	0.851	0.012	6.8558836297895e-154	Hoxb9	HoxABCD
2.561316948992e-154	2.63161564783098	0.998	0.743	8.34758806845984e-150	Gm47283	chrY
8.02802312147396e-154	7.54422964021505	0.831	0.007	2.61641301551958e-149	Hoxb8	HoxABCD
1.71778107409527e-152	8.26018816035286	0.822	0.005	5.59842029858389e-148	Hoxc8	HoxABCD
4.9990578103462e-151	8.93105668982811	0.813	0.002	1.62924293096993e-146	Hoxb4	HoxABCD
4.02348818308816e-148	8.75739342923688	0.804	0.005	1.31129503375026e-143	Hoxa7	HoxABCD
8.9302024756469e-142	-0.633076489223295	1	1	2.91044228883808e-137	Rps14	other
3.7838570166232e-106	8.29114133251668	0.624	0.002	1.23319684028767e-101	Hoxa9	HoxABCD
3.35501365697289e-96	8.15123547153586	0.577	0.002	1.09343250094404e-91	Hoxc6	HoxABCD
3.98444108064144e-95	7.92379801099097	0.572	0.002	1.29856919259185e-90	Hoxb2	HoxABCD
4.46968203786859e-95	7.73020371658675	0.572	0.002	1.45671407296175e-90	Hoxb1	HoxABCD
5.81745516457896e-89	7.25759971579872	0.546	0.003	1.89596681268793e-84	Hoxb3	HoxABCD
9.65395076000259e-89	6.85080540794946	0.55	0.007	3.14631909219244e-84	Hoxd9	HoxABCD
2.01868883151851e-80	7.11961272236286	0.503	0.003	6.57910877080197e-76	Hoxc10	HoxABCD
1.78374683401106e-79	-1.43769961664826	0.882	0.986	5.81340930672545e-75	Gm45889	other
3.30289454192715e-77	5.37693283660004	0.51	0.014	1.07644636015948e-72	Hotairm1	HoxABCD
1.32084347391667e-74	6.52207772293489	0.477	0.005	4.30476096584181e-70	Hoxc4	HoxABCD
5.06047510692568e-58	6.54062569312612	0.383	0.003	1.64925944209815e-53	Hoxb7	HoxABCD
8.60965011419159e-55	5.94407337418441	0.37	0.005	2.80597106871618e-50	Hoxd4	HoxABCD
5.54399269894903e-54	6.25128380407416	0.361	0.003	1.80684266051448e-49	Hoxb3os	HoxABCD
8.92115201150377e-49	-0.374883560338908	1	1	2.90749265206919e-44	Rps29	other
1.16607621943196e-47	7.94763383151121	0.314	0	3.80035900675072e-43	Gm53	HoxABCD
6.44403531304605e-47	7.86756773135554	0.31	0	2.10017554887484e-42	Hoxa3	HoxABCD
2.04211807104041e-43	-0.842926124037945	0.895	0.983	6.65546700532781e-39	Peg3	other
4.53143067301511e-41	-0.262581370386832	1	1	1.47683857064236e-36	Rps20	other
1.21973472690767e-39	6.87339357419561	0.269	0.002	3.9752374484648e-35	Gm27477	HoxABCD
2.55519040573856e-38	-1.54662811484483	0.345	0.693	8.32762105134253e-34	Cdx1	other
1.12324818470805e-36	6.10466012629562	0.252	0.002	3.66077815878201e-32	Hoxa2	HoxABCD
1.25620745145259e-36	-0.499421173384869	0.993	0.998	4.09410570502912e-32	Gm10076	other
3.02666169548861e-35	2.59514235373241	0.379	0.067	9.86419313176693e-31	Cdkn1c	other
1.65801989320846e-34	4.28382569526199	0.285	0.022	5.40365263395568e-30	Grb10	other
3.87311189589119e-34	-0.260885097494672	1	1	1.2622858979899e-29	Rpl37a	other
6.76878149921203e-34	-0.503374949378204	1	1	2.20601357840819e-29	CT010467.1	other
2.84843789427427e-32	-0.284170874277248	1	1	9.28334394122928e-28	Rps27	other
6.50740464467655e-32	5.92550687358742	0.225	0.003	2.12082824774654e-27	Ddx3y	chrY
2.83754730347013e-31	7.30278950620045	0.212	0	9.24785041673951e-27	Eif2s3y	chrY
3.81244317063415e-31	-0.293956570901948	1	1	1.24251335374138e-26	Rpl39	other
4.10059682494265e-31	-0.996840562323438	0.675	0.849	1.33642551121706e-26	Prtg	other
6.02320069276138e-31	0.259013615845437	1	1	1.96302133777786e-26	Npm1	other
9.08084725931303e-31	-0.328143815884489	1	0.998	2.95953893028271e-26	Rpl35	other
1.15116537108647e-30	-0.197304020833765	1	1	3.75176306090792e-26	Rpl41	other
2.97408529586293e-30	7.1301212187546	0.205	0	9.69284138774687e-26	Hoxd8	HoxABCD
6.48981157804144e-30	7.26249661996018	0.203	0	2.11509449139949e-25	Hoxb6	HoxABCD
6.48982110324816e-30	7.17910018460088	0.203	0	2.11509759575961e-25	Hoxd3	HoxABCD
1.80601219598637e-28	1.53774747492372	0.523	0.194	5.88597434793917e-24	Erdr1	other
6.79879646519211e-28	7.00333035342979	0.189	0	2.21579575597076e-23	Hoxa4	HoxABCD
1.19505853801084e-26	-2.28317972102257	0.158	0.451	3.89481528123112e-22	H19	other
5.13183079511776e-26	0.926208359897941	0.86	0.642	1.67251497443683e-21	Cd63	other
3.01285898394006e-24	6.84618604697474	0.165	0	9.81920871455905e-20	Hoxc5	HoxABCD
8.02786367726638e-24	5.78298341966017	0.167	0.002	2.61636105105788e-19	Hoxa5	HoxABCD
5.31183333715982e-23	-0.828138374522118	0.677	0.854	1.73117960291376e-18	Nnat	other
1.29615572777638e-22	6.69776071508333	0.154	0	4.22430113239601e-18	Hoxd3os1	HoxABCD
1.89078103610814e-22	-0.750149954688345	0.8	0.858	6.16224447478005e-18	Tcof1	other
5.78161128029413e-22	6.8219154095004	0.149	0	1.88428493236066e-17	Hoxa10	HoxABCD
1.05987004491205e-21	0.572251276155221	0.976	0.901	3.45422246337285e-17	Pclaf	other
2.1784558493817e-21	-0.719980064127581	0.753	0.864	7.09980545871989e-17	Rbm22	other
4.46592356844751e-21	-0.207123884403857	1	1	1.45548915019273e-16	Rps21	other
2.37414388193302e-20	6.58444534200286	0.138	0	7.73757232560791e-16	Gm15050	HoxABCD
4.62742510671845e-20	0.343103485472322	0.998	0.995	1.50812411653061e-15	Hint1	other
5.3469737887946e-20	-0.222286593054491	1	1	1.74263222750605e-15	Rpl6	other
9.88484309836231e-20	-0.258218905640002	1	1	3.22156921418726e-15	Rpl38	other
1.039773882565e-19	6.60162905769549	0.134	0	3.38872706066759e-15	Mir196b	HoxABCD
2.32454173172518e-18	-1.07653717218045	0.494	0.703	7.57591395786555e-14	Id3	other
3.20192841394979e-18	-0.243550849293745	1	1	1.04354048939038e-13	Rps28	other
4.76300101036842e-17	0.478082290824241	0.973	0.921	1.55230965928917e-12	Eif4a1	other
2.83971880530146e-16	-0.288885461614371	0.998	0.998	9.25492755835798e-12	Gapdh	other
3.19945833390652e-16	-0.752896232661938	0.704	0.813	1.04273546560347e-11	Meg3	other
3.56195933843186e-16	2.08929527902137	0.203	0.039	1.16087816798833e-11	Hoxa1	HoxABCD
4.62443596803494e-16	-0.462292049354515	0.938	0.952	1.50714992634227e-11	Csnk1a1	other
7.57208882507512e-16	-0.199345275059664	1	1	2.46781946898023e-11	Rplp0	other
2.7942423907756e-15	6.23299760633401	0.102	0	9.10671537577676e-11	5730596B20Rik	HoxABCD
