p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci
8.39138282934949e-114	8.89292039567011	0.982	0.011	2.73483557791329e-109	Hoxaas3	HoxABCD
1.02213292574951e-110	8.20809574509501	0.964	0.011	3.33123341831024e-106	Hoxb5os	HoxABCD
2.51011964620764e-84	8.52638365737693	0.783	0.003	8.18073093895532e-80	Hoxb8	HoxABCD
2.55131163402571e-82	9.48198596154109	0.765	0	8.31497974645318e-78	Hoxb4	HoxABCD
4.90978655410784e-79	-0.676812615527152	1	1	1.60014853584929e-74	Rps14	other
1.20109468373763e-78	8.35100707177931	0.742	0.003	3.9144876837693e-74	Hoxb9	HoxABCD
4.00794362709518e-78	2.66450284305132	0.986	0.744	1.30622890750659e-73	Gm47283	chrY
1.23115671601917e-71	7.27381578853686	0.697	0.006	4.01246285317807e-67	Hoxc9	HoxABCD
1.38089247979341e-70	8.01953729002125	0.683	0.003	4.50046668089471e-66	Hoxc8	HoxABCD
1.70394508107507e-61	6.55740002043009	0.62	0.006	5.55332741373178e-57	Hoxb1	HoxABCD
3.40743346969131e-57	8.64902794223101	0.57	0	1.1105166421071e-52	Hoxb2	HoxABCD
1.57036551912619e-53	5.72581834175372	0.575	0.017	5.11797826338416e-49	Hotairm1	HoxABCD
3.25300931444983e-52	6.54344890728895	0.543	0.006	1.06018826567235e-47	Hoxa7	HoxABCD
1.69744920401249e-51	6.59222410443633	0.534	0.006	5.53215670079712e-47	Hoxb3	HoxABCD
6.06299588390975e-46	6.96090313463808	0.48	0.003	1.97599098852503e-41	Hoxb3os	HoxABCD
4.45403624836247e-44	-3.57053634821002	0.176	0.739	1.45161495370381e-39	H19	other
1.94698419758789e-42	7.1864058420181	0.448	0.003	6.34541619835869e-38	Hoxd9	HoxABCD
8.03927897723085e-42	6.71597595070175	0.443	0.003	2.6200814114693e-37	Hoxa9	HoxABCD
1.62668672959107e-36	6.4468609375962	0.394	0.003	5.30153472041024e-32	Hoxd4	HoxABCD
1.92727956321941e-36	7.78187533892004	0.385	0	6.28119682448837e-32	Hoxc6	HoxABCD
3.79223678759333e-35	6.56567368954487	0.38	0.003	1.23592789144454e-30	Gm27477	HoxABCD
2.21877196548933e-29	-0.369752528901715	1	1	7.23119971272627e-25	Rps29	other
3.11834043968786e-29	-0.738091297786117	0.991	0.994	1.01629833269867e-24	Gm45889	other
2.42469180871623e-28	-0.968493333747467	0.9	0.997	7.90231307378705e-24	Peg3	other
7.06347476959149e-27	7.22669468243589	0.29	0	2.30205706215756e-22	Hoxb7	HoxABCD
3.94836768137525e-26	-0.283373087216134	1	1	1.28681251103701e-21	Rps20	other
4.21941585597634e-25	5.74344617064666	0.281	0.003	1.37514982162125e-20	Hoxc4	HoxABCD
8.92405244056567e-25	6.12339699454278	0.276	0.003	2.90843793090476e-20	Hoxa2	HoxABCD
2.25245379782237e-24	-0.285843619811948	1	1	7.3409721724829e-20	Rpl37a	other
6.38973383155073e-23	5.24882589489093	0.29	0.017	2.0824781530407e-18	Grb10	other
