p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci
4.0924890970036e-228	8.27477404145893	0.826	0.007	1.33378312160444e-223	Hotairm1	HoxABCD
5.31075650637751e-165	2.59928853096283	0.995	0.736	1.73082865299349e-160	Gm47283	chrY
2.77258524654448e-161	-0.695980248067008	1	1	9.03613257701312e-157	Rps14	other
2.05435222313331e-157	7.24019047342993	0.614	0.007	6.69533933041378e-153	Hoxa7	HoxABCD
1.78694012567973e-148	6.0575518260757	0.606	0.014	5.8238165636028e-144	Hoxb5os	HoxABCD
8.72854851385416e-146	7.09399366847072	0.58	0.009	2.84472124615021e-141	Hoxb9	HoxABCD
1.14787682971199e-127	6.91492420195364	0.516	0.007	3.74104537571433e-123	Hoxb4	HoxABCD
8.44470477329306e-124	6.78240566698198	0.503	0.007	2.75221373266394e-119	Hoxb8	HoxABCD
7.71298975381587e-122	7.51218334497078	0.49	0.005	2.51374049066613e-117	Gm27477	HoxABCD
2.0715841338388e-110	7.98998054571647	0.44	0.002	6.75149985059402e-106	Hoxb3os	HoxABCD
1.11198151231696e-94	8.0463392209454	0.381	0.001	3.6240589467922e-90	Hoxa5	HoxABCD
2.48587483436187e-88	6.75042174301607	0.368	0.004	8.10171467266876e-84	Gm15050	HoxABCD
1.12960416836443e-84	5.87188686885207	0.365	0.007	3.68149294511651e-80	Hoxb2	HoxABCD
7.3074336938453e-78	-2.20399192215091	0.332	0.846	2.38156571516112e-73	H19	other
2.12163047881311e-77	6.86734083994732	0.326	0.004	6.91460589349981e-73	Hoxb3	HoxABCD
1.36152732442403e-73	8.83902337756327	0.298	0	4.43735370303036e-69	Hoxb7	HoxABCD
5.74493241219814e-73	4.92869021489663	0.345	0.014	1.8723309224595e-68	Hoxaas3	HoxABCD
1.21171462324141e-63	7.26197656785526	0.267	0.002	3.94909912860607e-59	Hoxa2	HoxABCD
2.62097904416942e-61	3.03043049642495	0.466	0.086	8.54203280285256e-57	Cdkn1c	other
6.75163586094684e-61	5.31771761085256	0.303	0.017	2.20042564344118e-56	Grb10	other
3.53537411739969e-60	6.62062814293993	0.254	0.002	1.15221377860173e-55	Hoxd4	HoxABCD
5.80542275157116e-54	5.40213189552295	0.241	0.005	1.89204532896456e-49	Hoxb1	HoxABCD
1.20831095298497e-50	5.58916898687835	0.231	0.006	3.9380062268733e-46	Hoxc8	HoxABCD
8.84916504333436e-46	3.00251296425396	0.554	0.214	2.8840313792731e-41	Igfbp5	other
1.41357038797517e-42	-0.315900795149497	1	1	4.60696725144988e-38	Rps29	other
1.92255047834114e-42	-0.848098510760441	0.938	0.983	6.26578426396162e-38	Meg3	other
2.13754714152077e-42	6.63770064296346	0.179	0.001	6.96647988893035e-38	5730596B20Rik	HoxABCD
3.42820205953063e-42	8.06498995895534	0.174	0	1.11728533322163e-37	Eif2s3y	chrY
1.67052042587182e-41	5.56342363646053	0.187	0.004	5.44439311995885e-37	Hoxd3	HoxABCD
3.19715405923721e-41	-0.235475840801599	1	1	1.041984479446e-36	Rpl41	other
1.45399653071222e-40	-0.265959218521008	1	1	4.73872009324419e-36	Rpl37a	other
3.90789849948498e-40	-0.251329989697481	1	1	1.27362319996715e-35	Rps20	other
1.98815044186711e-39	1.67382233110183	0.658	0.322	6.47958110508909e-35	Rbp1	other
