p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci	tissue
1.71E-200	8.594280316	0.979	0.02	5.50E-196	Hoxaas3	HoxABCD	NMPs
1.59E-193	8.720232368	0.951	0.008	5.09E-189	Hoxb5os	HoxABCD	NMPs
3.57E-183	8.208093972	0.917	0.007	1.14E-178	Hoxc9	HoxABCD	NMPs
6.19E-164	7.246375468	0.856	0.013	1.99E-159	Hoxb9	HoxABCD	NMPs
3.96E-158	2.649409918	0.996	0.727	1.27E-153	Gm47283	chrY	NMPs
2.37E-156	8.247825786	0.82	0.005	7.61E-152	Hoxc8	HoxABCD	NMPs
1.03E-152	8.925920438	0.803	0.002	3.29E-148	Hoxb4	HoxABCD	NMPs
1.52E-152	7.809217771	0.807	0.005	4.89E-148	Hoxb8	HoxABCD	NMPs
5.91E-151	8.74418121	0.798	0.005	1.89E-146	Hoxa7	HoxABCD	NMPs
3.07E-146	-0.628788626	1	1	9.86E-142	Rps14	other	NMPs
2.15E-106	8.322475491	0.611	0.002	6.89E-102	Hoxa9	HoxABCD	NMPs
1.53E-98	8.172658953	0.575	0.002	4.90E-94	Hoxc6	HoxABCD	NMPs
1.03E-94	7.727389686	0.558	0.002	3.30E-90	Hoxb1	HoxABCD	NMPs
1.19E-93	7.22830664	0.558	0.005	3.81E-89	Hoxd9	HoxABCD	NMPs
2.08E-93	7.905198898	0.552	0.002	6.67E-89	Hoxb2	HoxABCD	NMPs
1.22E-89	7.249401729	0.537	0.003	3.90E-85	Hoxb3	HoxABCD	NMPs
3.34E-86	-1.468820173	0.866	0.988	1.07E-81	Gm45889	other	NMPs
9.16E-85	7.228490764	0.514	0.003	2.94E-80	Hoxc10	HoxABCD	NMPs
3.42E-80	5.41725461	0.512	0.012	1.10E-75	Hotairm1	HoxABCD	NMPs
1.30E-76	6.822024437	0.473	0.003	4.16E-72	Hoxc4	HoxABCD	NMPs
3.51E-60	6.613151392	0.386	0.003	1.13E-55	Hoxb7	HoxABCD	NMPs
2.09E-54	6.000275299	0.359	0.005	6.69E-50	Hoxb3os	HoxABCD	NMPs
8.00E-53	5.898288717	0.35	0.005	2.56E-48	Hoxd4	HoxABCD	NMPs
1.07E-48	-0.371745218	1	1	3.44E-44	Rps29	other	NMPs
2.90E-48	-0.87218084	0.898	0.985	9.29E-44	Peg3	other	NMPs
8.49E-48	7.987226023	0.308	0	2.72E-43	Gm53	HoxABCD	NMPs
4.49E-47	7.877479991	0.304	0	1.44E-42	Hoxa3	HoxABCD	NMPs
3.02E-44	-0.271029555	1	1	9.67E-40	Rps20	other	NMPs
8.83E-41	-1.565756963	0.344	0.695	2.83E-36	Cdx1	other	NMPs
5.75E-40	6.356921314	0.27	0.003	1.84E-35	Gm27477	HoxABCD	NMPs
3.42E-38	-0.500327307	0.994	0.998	1.10E-33	Gm10076	other	NMPs
8.10E-37	4.493670878	0.289	0.02	2.60E-32	Grb10	other	NMPs
2.99E-36	2.624727506	0.378	0.067	9.58E-32	Cdkn1c	other	NMPs
1.05E-35	6.089225923	0.24	0.002	3.37E-31	Hoxa2	HoxABCD	NMPs
5.70E-34	-0.492154838	1	1	1.83E-29	CT010467.1	other	NMPs
3.56E-33	0.260104283	1	1	1.14E-28	Npm1	other	NMPs
7.36E-33	-1.002746565	0.684	0.854	2.36E-28	Prtg	other	NMPs
1.91E-32	-0.252201505	1	1	6.13E-28	Rpl37a	other	NMPs
9.74E-32	5.921569279	0.219	0.003	3.12E-27	Ddx3y	chrY	NMPs
1.09E-31	-0.197112672	1	1	3.49E-27	Rpl41	other	NMPs
2.77E-31	-0.27424718	1	1	8.87E-27	Rps27	other	NMPs
3.85E-31	7.190134239	0.206	0	1.24E-26	Hoxd8	HoxABCD	NMPs
8.28E-31	7.265111904	0.204	0	2.65E-26	Hoxb6	HoxABCD	NMPs
9.59E-30	0.961985102	0.866	0.635	3.08E-25	Cd63	other	NMPs
1.14E-29	-0.311760788	1	0.998	3.66E-25	Rpl35	other	NMPs
3.19E-29	1.540703554	0.529	0.201	1.02E-24	Erdr1	other	NMPs
3.70E-29	7.217347391	0.193	0	1.19E-24	Eif2s3y	chrY	NMPs
4.44E-29	-2.348643142	0.157	0.459	1.42E-24	H19	other	NMPs
1.58E-28	-0.271748426	1	1	5.05E-24	Rpl39	other	NMPs
2.00E-28	6.137712664	0.193	0.002	6.43E-24	Hoxd3	HoxABCD	NMPs
9.38E-28	-0.911398176	0.665	0.856	3.01E-23	Nnat	other	NMPs
1.60E-27	6.971525025	0.183	0	5.13E-23	Hoxa4	HoxABCD	NMPs
2.71E-24	6.959766148	0.161	0	8.69E-20	Hoxa10	HoxABCD	NMPs
2.19E-23	0.571905986	0.972	0.899	7.03E-19	Pclaf	other	NMPs
3.22E-23	5.707237029	0.159	0.002	1.03E-18	Hoxa5	HoxABCD	NMPs
4.57E-22	6.723348031	0.146	0	1.46E-17	Hoxc5	HoxABCD	NMPs
9.45E-22	6.748988812	0.144	0	3.03E-17	Gm15050	HoxABCD	NMPs
1.95E-21	6.645540479	0.142	0	6.27E-17	Hoxd3os1	HoxABCD	NMPs
2.08E-21	-0.689884597	0.805	0.859	6.66E-17	Tcof1	other	NMPs
1.98E-20	-0.708086622	0.756	0.861	6.35E-16	Rbm22	other	NMPs
4.87E-20	-0.19446021	1	1	1.56E-15	Rps21	other	NMPs
9.48E-20	-1.084254795	0.484	0.705	3.04E-15	Id3	other	NMPs
5.37E-19	-0.211097928	1	1	1.72E-14	Rpl6	other	NMPs
1.27E-18	6.505761559	0.123	0	4.09E-14	Mir196b	HoxABCD	NMPs
1.84E-18	-0.245231342	1	1	5.90E-14	Rpl38	other	NMPs
1.99E-18	0.330171965	0.998	0.993	6.37E-14	Hint1	other	NMPs
1.99E-17	0.949557143	0.62	0.363	6.37E-13	Id2	other	NMPs
2.05E-17	-0.230039536	1	1	6.57E-13	Rps28	other	NMPs
1.17E-16	-0.454183815	0.936	0.95	3.75E-12	Csnk1a1	other	NMPs
3.74E-16	6.361295455	0.106	0	1.20E-11	5730596B20Rik	HoxABCD	NMPs
4.34E-16	-0.28246183	0.998	0.998	1.39E-11	Gapdh	other	NMPs
6.95E-16	0.453789036	0.966	0.92	2.23E-11	Eif4a1	other	NMPs
6.97E-16	2.027365875	0.202	0.042	2.24E-11	Hoxa1	HoxABCD	NMPs
3.35E-15	-0.178559618	1	1	1.08E-10	Rpl36a	other	NMPs
3.59E-15	-0.741063508	0.711	0.804	1.15E-10	Meg3	other	NMPs
5.40E-15	-0.187906892	1	1	1.73E-10	Rplp0	other	NMPs
5.79E-15	-0.157997548	1	1	1.86E-10	Rpl36	other	NMPs
6.22E-15	6.053442292	0.098	0	2.00E-10	Haglr	HoxABCD	NMPs
6.69E-15	0.169399394	1	1	2.14E-10	Rps27a	other	NMPs
2.52E-14	6.002299961	0.093	0	8.10E-10	Hoxb5	HoxABCD	NMPs
1.02E-13	-0.520065007	0.907	0.935	3.27E-09	Kcnq1ot1	other	NMPs
1.36E-13	-0.196274941	1	1	4.35E-09	Mdk	other	NMPs
1.62E-13	-0.81792772	0.535	0.678	5.19E-09	Phlda3	other	NMPs
2.51E-13	-0.337518526	1	1	8.05E-09	Malat1	other	NMPs
3.17E-13	0.667429946	0.764	0.598	1.02E-08	Abracl	other	NMPs
4.35E-13	0.518375936	0.945	0.853	1.40E-08	Ccnd2	other	NMPs
1.62E-12	0.301417355	0.998	0.987	5.19E-08	Cox7a2	other	NMPs
2.17E-12	-0.314316575	0.979	0.985	6.96E-08	Eno1	other	NMPs
3.85E-12	0.348557109	0.975	0.941	1.23E-07	Psmb6	other	NMPs
4.18E-12	0.971761232	0.401	0.196	1.34E-07	Cyp26a1	other	NMPs
4.59E-12	1.031251162	0.346	0.154	1.47E-07	Zdhhc2	other	NMPs
9.07E-12	-0.997411335	0.431	0.551	2.91E-07	Axin2	other	NMPs
9.16E-12	-0.775292067	0.692	0.786	2.94E-07	H1f5	other	NMPs
1.18E-11	0.469632477	0.883	0.719	3.77E-07	Gdi2	other	NMPs
1.53E-11	-0.53105097	0.803	0.863	4.89E-07	Hes1	other	NMPs
1.93E-11	0.444834352	0.902	0.806	6.19E-07	Crabp2	other	NMPs
2.61E-11	5.501019606	0.072	0	8.37E-07	Hoxaas2	HoxABCD	NMPs
5.17E-11	-1.391352063	0.18	0.333	1.66E-06	Urad	other	NMPs
5.83E-11	0.727122679	0.605	0.402	1.87E-06	Gcat	other	NMPs
6.41E-11	0.302138404	0.983	0.968	2.05E-06	Cnbp	other	NMPs
6.52E-11	0.179016481	1	1	2.09E-06	Chchd2	other	NMPs
6.53E-11	-0.612390308	0.601	0.729	2.09E-06	Cdkn1a	other	NMPs
6.61E-11	0.340209062	0.938	0.886	2.12E-06	H2az1	other	NMPs
1.02E-10	1.14202477	0.306	0.141	3.26E-06	Palld	other	NMPs
1.05E-10	-0.139901815	1	1	3.37E-06	Rpl37	other	NMPs
1.38E-10	-1.246985411	0.178	0.333	4.42E-06	Nrp2	other	NMPs
1.51E-10	-0.216365683	1	0.995	4.83E-06	Dctpp1	other	NMPs
1.55E-10	0.56744717	0.737	0.581	4.97E-06	Elavl1	other	NMPs
2.05E-10	5.506918741	0.066	0	6.59E-06	Uty	chrY	NMPs
2.07E-10	-0.331993977	0.917	0.94	6.65E-06	Cbx3	other	NMPs
2.74E-10	-0.508960229	0.777	0.841	8.80E-06	Tcf4	other	NMPs
2.75E-10	0.432101278	0.839	0.672	8.81E-06	Ndufb10	other	NMPs
3.57E-10	-0.146056074	1	1	1.15E-05	Rpl22	other	NMPs
3.84E-10	-0.117725202	1	1	1.23E-05	Rps12	other	NMPs
4.83E-10	0.538639815	0.807	0.642	1.55E-05	Tmsb4x	other	NMPs
6.12E-10	-0.362416031	0.9	0.938	1.96E-05	Fus	other	NMPs
