"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Aldh1a2",0,2.90234079360621,0.782,0.191,0,"0","Aldh1a2"
"Msgn1",0,3.1512418085814,0.672,0.096,0,"0","Msgn1"
"Tbx6",0,3.04931952858177,0.666,0.112,0,"0","Tbx6"
"Cited1",0,2.66833364381763,0.869,0.331,0,"0","Cited1"
"Pcdh19",0,1.83768773235258,0.737,0.224,0,"0","Pcdh19"
"Dll1",0,2.00220947769859,0.78,0.271,0,"0","Dll1"
"Gm45889",0,1.44967249644246,0.952,0.446,0,"0","Gm45889"
"Rnf213",0,2.81288336633569,0.598,0.119,0,"0","Rnf213"
"Rspo3",0,1.74833205906861,0.94,0.467,0,"0","Rspo3"
"Plxna2",0,2.6070590432608,0.643,0.175,0,"0","Plxna2"
"Hes7",0,1.63450334760426,0.724,0.281,0,"0","Hes7"
"Crabp1",0,1.39253976910279,0.774,0.363,0,"0","Crabp1"
"Fn1",0,1.95118498956558,0.932,0.537,0,"0","Fn1"
"Lmo2",0,2.64072532067084,0.512,0.132,0,"0","Lmo2"
"Pcolce2",0,2.69941682564342,0.414,0.1,0,"0","Pcolce2"
"Lef1",0,1.22391004110478,0.932,0.66,0,"0","Lef1"
"Rbp1",0,1.15667877706504,0.924,0.664,0,"0","Rbp1"
"Gpc3",0,1.1797281604782,0.958,0.721,0,"0","Gpc3"
"Ifitm1",0,1.88733101652559,0.998,0.806,0,"0","Ifitm1"
"Kcnk3",0,3.32313511768205,0.211,0.024,0,"0","Kcnk3"
"Prtg",0,1.04808474856943,0.939,0.813,0,"0","Prtg"
"Ifitm2",0,0.752951779835688,0.994,0.963,0,"0","Ifitm2"
"Cdx1",3.62827016330594e-305,1.28756509496625,0.833,0.473,1.18248952892304e-300,"0","Cdx1"
"Frzb",1.97436177894663e-294,2.51966463866268,0.33,0.074,6.43464247376496e-290,"0","Frzb"
"Fabp7",3.68787455958622e-286,2.16944658059718,0.389,0.105,1.20191519771474e-281,"0","Fabp7"
"Rftn1",8.66258713011457e-268,2.10403507747566,0.388,0.11,2.82322377157564e-263,"0","Rftn1"
"Mesp1",1.3014868035795e-252,2.20973951552383,0.348,0.092,4.24167564154594e-248,"0","Mesp1"
"Dpysl5",4.40399476016786e-237,1.68568105348546,0.523,0.222,1.43530593228631e-232,"0","Dpysl5"
"Meis2",2.09788084878013e-229,0.825921765275597,0.922,0.663,6.83720347425931e-225,"0","Meis2"
"Smc6",3.92884233525247e-224,0.910712803207135,0.912,0.807,1.28044900548213e-219,"0","Smc6"
"Cited2",2.20762655987268e-223,1.0706455567356,0.903,0.794,7.19487572128106e-219,"0","Cited2"
"Pik3c2b",2.06131968465155e-220,2.38931788224017,0.275,0.066,6.71804698424788e-216,"0","Pik3c2b"
"Peli3",2.57162879376472e-211,2.17947908974223,0.276,0.068,8.38119540175859e-207,"0","Peli3"
"Mogat2",3.91193535101077e-210,1.76251030397661,0.446,0.173,1.27493885024792e-205,"0","Mogat2"
"Nkd2",8.61867740896815e-194,2.03181303828416,0.328,0.103,2.80891315435681e-189,"0","Nkd2"
"Rab8b",1.12801022066979e-185,1.25893353190845,0.572,0.282,3.67629811018492e-181,"0","Rab8b"
"Dll3",5.5929590686442e-175,1.42375539969954,0.504,0.233,1.82280129006183e-170,"0","Dll3"
"Phlda2",1.06379478115146e-172,2.40234225760878,0.262,0.075,3.46701357125072e-168,"0","Phlda2"
"Pdlim4",2.28756162304214e-171,1.84296370280716,0.376,0.144,7.45539208565664e-167,"0","Pdlim4"
"Dock11",3.5568341773641e-167,1.38299614319942,0.562,0.312,1.15920782674473e-162,"0","Dock11"
"Itpk1",6.09257067187399e-167,2.00437607613066,0.339,0.125,1.98562970767045e-162,"0","Itpk1"
"Notch1",7.62823679347828e-165,0.827971592316018,0.718,0.424,2.48611865336251e-160,"0","Notch1"
"Aplnr",2.89111055793272e-164,1.87272834904394,0.261,0.074,9.42241841935853e-160,"0","Aplnr"
"Lhx1",2.73817304059621e-162,1.533094704964,0.357,0.13,8.9239797566071e-158,"0","Lhx1"
"Pdzrn3",4.26254898938632e-155,1.66581347412218,0.345,0.129,1.3892073411309e-150,"0","Pdzrn3"
"Greb1l",3.66587242250988e-152,1.24930569655675,0.576,0.324,1.1947444812202e-147,"0","Greb1l"
"Inka1",1.40779044196424e-150,1.25640237810042,0.416,0.171,4.58812982940567e-146,"0","Inka1"
"Rtn1",1.01140294075254e-149,1.69047163361609,0.414,0.188,3.29626332420659e-145,"0","Rtn1"
"Lrig3",1.04605820060098e-149,1.31534211385869,0.504,0.257,3.40920828157867e-145,"0","Lrig3"
"Peg3",1.85009934043151e-149,0.697235728915995,0.981,0.938,6.02965876040032e-145,"0","Peg3"
"Dact1",3.6008780114327e-144,1.31603710724166,0.442,0.2,1.17356215270603e-139,"0","Dact1"
"Synm",1.10287463790849e-141,1.68863404717109,0.298,0.105,3.59437873240757e-137,"0","Synm"
"Cbr3",2.78405116089548e-138,1.75951799514094,0.299,0.109,9.07350113847444e-134,"0","Cbr3"
"Ptgds",4.44937421819015e-135,1.08376097662571,0.276,0.09,1.45009555145035e-130,"0","Ptgds"
"Ypel3",8.44888992958794e-131,1.14150591261368,0.565,0.331,2.753577716952e-126,"0","Ypel3"
"Gbx2",6.89007752531842e-130,1.15733901615846,0.529,0.295,2.24554516627653e-125,"0","Gbx2"
"Id1",5.93579379234182e-124,1.27439773390732,0.525,0.3,1.93453455486212e-119,"0","Id1"
"Ddit4",1.0261658822197e-123,0.917704278995633,0.673,0.437,3.34437722674221e-119,"0","Ddit4"
"Epha4",2.04704753954023e-123,0.989433343379716,0.568,0.33,6.67153263611556e-119,"0","Epha4"
"Tnfrsf19",1.19592073821981e-113,1.24285451933231,0.484,0.279,3.89762527793217e-109,"0","Tnfrsf19"
"Pdlim5",2.0443371139099e-110,1.51072012247916,0.328,0.145,6.66269908794377e-106,"0","Pdlim5"
"Sp5",1.02322997745261e-108,0.952740642967993,0.563,0.332,3.33480881951579e-104,"0","Sp5"
"Exoc6b",6.4526784485496e-107,1.54010749332244,0.354,0.169,2.1029924331668e-102,"0","Exoc6b"
"Cachd1",6.62988486072258e-107,1.15057360361229,0.518,0.327,2.1607457749581e-102,"0","Cachd1"
"Igfbp4",9.74516965216451e-104,1.28181633699125,0.381,0.187,3.17604824133694e-99,"0","Igfbp4"
"Septin8",1.53446811705037e-103,1.51844102171196,0.309,0.135,5.00098504027888e-99,"0","Septin8"
"Epb41l2",2.70410778193533e-101,0.938286037668793,0.624,0.444,8.81295767210544e-97,"0","Epb41l2"
"Aldh2",2.08185342032999e-99,0.659015992321277,0.787,0.607,6.78496848219748e-95,"0","Aldh2"
"Maml3",7.85328464577598e-98,0.922485663765291,0.555,0.346,2.55946399890485e-93,"0","Maml3"
"Foxb1",2.53672009854553e-97,0.871068271513803,0.616,0.418,8.26742447316974e-93,"0","Foxb1"
"Timm50",1.12996219790844e-96,0.656332630549852,0.801,0.683,3.68265979920339e-92,"0","Timm50"
"Ctsl",2.55162431684893e-95,0.610459932746016,0.916,0.856,8.31599881104234e-91,"0","Ctsl"
"Pea15a",1.6907614644574e-93,1.18895305034525,0.435,0.249,5.51036068881311e-89,"0","Pea15a"
"Dach1",1.07410958966976e-86,1.0811666886772,0.379,0.195,3.50063056369272e-82,"0","Dach1"
"Itgb5",2.28215128651401e-86,1.1885475472753,0.382,0.207,7.43775925787782e-82,"0","Itgb5"
"C130089K02Rik",2.44975784459601e-85,1.01569597344916,0.447,0.258,7.98400579132286e-81,"0","C130089K02Rik"
"Tm9sf4",1.59864073981243e-84,0.853519521868029,0.593,0.416,5.2101300351227e-80,"0","Tm9sf4"
"Tenm4",3.40472155634067e-84,0.839636578851955,0.538,0.338,1.10963280242699e-79,"0","Tenm4"
"Nrarp",4.75118339476034e-84,0.980210325662137,0.446,0.257,1.54845818018634e-79,"0","Nrarp"
"Foxh1",1.95137931236456e-83,0.986399427289082,0.463,0.274,6.35974031692733e-79,"0","Foxh1"
"Zfpm1",1.16229297042462e-82,1.46145867603999,0.233,0.095,3.78802901991088e-78,"0","Zfpm1"
"Fgfr1",1.22671047632501e-81,0.674248220692745,0.699,0.551,3.99797211339085e-77,"0","Fgfr1"
"Lama1",1.15295588995518e-79,1.20663656329137,0.288,0.132,3.75759854095293e-75,"0","Lama1"
"Foxc1",3.23126674949589e-79,0.682379002215301,0.566,0.345,1.0531021463282e-74,"0","Foxc1"
"Chst7",8.50062169996379e-77,1.36803434273848,0.258,0.116,2.7704376182352e-72,"0","Chst7"
"Sh3bp1",1.93712076326648e-76,1.41298975926781,0.243,0.107,6.31327027956178e-72,"0","Sh3bp1"
"Fjx1",7.27864726996611e-76,1.22066765583895,0.378,0.217,2.37218393175466e-71,"0","Fjx1"
"Slit3",2.95965960244632e-75,1.28321034356267,0.296,0.146,9.64582661033279e-71,"0","Slit3"
"S100a11",4.19239878352131e-75,0.772563726677054,0.64,0.491,1.36634468753743e-70,"0","S100a11"
"Sfxn1",6.66299056291325e-75,0.566859503737056,0.798,0.695,2.17153525435906e-70,"0","Sfxn1"
"Arhgap28",1.09972745877022e-72,0.886681796280421,0.461,0.28,3.58412176087801e-68,"0","Arhgap28"
"Ajap1",1.80806982186571e-70,1.36543337081815,0.2,0.08,5.89268035644252e-66,"0","Ajap1"
"Snai1",2.86543032279849e-69,1.35431331091109,0.237,0.106,9.33872396503257e-65,"0","Snai1"
