p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci
0	-3.0051829401253	0.421	0.937	0	mt-Atp8	other
0	-2.59673044797762	0.56	0.967	0	Cbx3	other
0	3.08312624389464	0.998	0.754	0	Gm47283	chrY
0	-1.74418227261116	0.941	0.993	0	mt-Rnr1	other
0	-1.21126154398078	0.972	0.998	0	Gm11942	other
0	-3.47158420587896	0.976	1	0	CT010467.1	other
0	1.03918479247819	1	0.998	0	Prdx1	other
0	-0.961999027300989	0.998	1	0	Gm10076	other
0	-1.5614855450932	0.998	1	0	AC160336.1	other
0	-1.63182972389366	0.998	1	0	mt-Rnr2	other
0	0.849478317324957	1	0.999	0	Gapdh	other
0	0.649318039063854	1	0.999	0	Rpl10	other
0	-0.668885490350203	1	1	0	Rpl37a	other
0	-0.458290690998997	1	1	0	Rps21	other
0	-0.903420348283979	1	1	0	Rps27	other
0	0.475782748188738	1	1	0	Rpl9	other
0	0.663737769494383	1	1	0	Rps16	other
0	0.62177064604717	1	1	0	Rps11	other
0	-0.592500261462209	1	1	0	Rps17	other
0	-0.451850779922829	1	1	0	Rpl41	other
0	0.523809953270512	1	1	0	Rpl19	other
0	-0.78638410050075	1	1	0	Rpl38	other
0	0.469792476813362	1	1	0	Rps27a	other
0	-1.15669893336639	1	1	0	Rps29	other
0	0.473123793816422	1	1	0	Rps3a3	other
0	-0.489501521467573	1	1	0	Rpl37	other
0	-0.967109912203643	1	1	0	Rps28	other
0	-0.645407219053781	1	1	0	Rps14	other
0	0.666803951950272	1	1	0	Rps4x	other
2.54838731206723e-306	-4.16449931745748	0.117	0.777	8.3054490887583e-302	CT010467.2	other
4.31426903181633e-303	0.639075772066446	0.999	1	1.40606342015926e-298	mt-Cytb	other
4.23015552653224e-299	0.802543598293656	0.999	0.999	1.37864998765212e-294	Pfn1	other
1.02843995638024e-295	0.397676439775416	1	1	3.35178866183885e-291	Rps5	other
2.28743290822855e-294	0.57790389198667	1	1	7.45497259120766e-290	Rpl10a	other
8.3888973464735e-286	-1.07621190034316	0.98	0.997	2.73402553418918e-281	Atp5k	other
3.32250042228554e-279	0.607256144851025	1	1	1.08283611262708e-274	Eif5a	other
3.74023982022225e-279	0.495571667000833	1	1	1.21898155980863e-274	Rpl21	other
1.52376221055748e-256	0.865658426358773	0.999	0.989	4.96609342042787e-252	Hspa8	other
4.9518060904483e-251	-1.23941141255516	0.974	0.998	1.61384312293801e-246	Meg3	other
4.53145069904255e-246	-1.60176205598516	0.715	0.943	1.47684509732496e-241	Dync1i2	other
3.26888025968438e-224	-1.37367696994177	0.772	0.95	1.06536076543374e-219	Gm14303	other
4.34621986881017e-222	-0.402648314287339	1	1	1.41647651744392e-217	Rpl36	other
7.79101911022973e-219	0.363973098925465	1	1	2.53917103821497e-214	Rpl14	other
1.47693499877478e-218	0.77594526036052	1	0.983	4.81347885450689e-214	Nop10	other
1.64228079357735e-217	-0.450577204896519	1	1	5.35235733434794e-213	Rpl35	other
1.08918477640875e-214	6.7051661501667	0.448	0.006	3.54976210479375e-210	Hoxb1	HoxABCD
1.41232728517484e-201	0.348235587868098	1	1	4.60291585511332e-197	Npm1	other
3.03271539442523e-194	-1.35335440605739	0.711	0.92	9.88392274197128e-190	Nmt1	other
2.32398178956628e-191	-1.32012249100816	0.736	0.932	7.57408905037545e-187	Uba52	other
1.62169912545413e-190	0.360266147856447	1	1	5.28527961976755e-186	Rpl13	other
1.83185571382169e-187	0.327281260233649	1	1	5.97020095691628e-183	Rpl11	other
2.81602701655197e-187	-0.742983345270305	0.995	0.997	9.17771364964451e-183	Hmgb2	other
3.64689438728157e-186	0.917526972533846	0.988	0.895	1.18855934975894e-181	Gdi2	other
2.74806455306312e-184	7.95889575588632	0.383	0.001	8.956217184888e-180	Eif2s3y	chrY
3.43001389533277e-183	0.895844016398939	0.994	0.916	1.1178758286279e-178	Alyref	other
1.37480533334372e-180	0.277588745378071	1	1	4.48062806190053e-176	Rps24	other
1.95021702352172e-179	5.39935421993576	0.403	0.013	6.35595230135963e-175	Hotairm1	HoxABCD
6.84616574226043e-179	0.261605857359027	1	1	2.2312338770601e-174	Rpl23	other
2.90281718638823e-178	0.95467190770797	0.978	0.872	9.46057149215788e-174	Hnrnpf	other
7.0302042750993e-178	-2.96797740731092	0.267	0.687	2.29121387529761e-173	H4c4	other
2.64050543573247e-174	-0.438647626345265	1	1	8.60567126559571e-170	Rpl31	other
6.88020243701082e-169	-1.38587376991427	0.784	0.941	2.2423267762462e-164	Peg3	other
4.43736365783156e-168	-1.16901357332404	0.997	1	1.44618118972388e-163	Malat1	other
1.45039810510516e-167	-0.488809682783568	1	0.998	4.72699246434823e-163	Rpl30	other
1.43133504172157e-165	-0.62460328471432	0.998	0.999	4.66486403447476e-161	Eif2s2	other
2.19002494568924e-163	-0.959786553583973	0.895	0.97	7.1375103004958e-159	Romo1	other
3.99877268134963e-160	-0.850715938259343	0.931	0.977	1.30324000457866e-155	Csnk1a1	other
4.92248414561299e-160	-1.42824094946821	0.643	0.88	1.60428680789673e-155	Dstn	other
7.8482238039609e-160	-0.579178493724719	0.995	0.999	2.5578146199489e-155	Tomm7	other
7.52197516035939e-156	0.904525582652438	0.969	0.849	2.45148692451273e-151	Ube2d3	other
1.24145840300321e-154	-0.863308693290393	0.916	0.979	4.04603708122775e-150	Ndufb1-ps	other
2.86610184304255e-152	0.861965059207678	0.99	0.96	9.34091251665999e-148	Mkrn1	other
3.03162999155983e-152	0.251075622031272	1	1	9.88038530549265e-148	Rpl8	other
7.75408310948442e-152	-0.471500311420471	1	1	2.52713322621207e-147	Rpl23a	other
9.18283382240492e-151	0.519803184212136	0.999	0.999	2.99277737105999e-146	mt-Nd4	other
1.62801776425227e-149	-0.93207397501621	0.929	0.972	5.30587269547458e-145	Ddx21	other
4.80533400559886e-148	-1.0944252073339	0.791	0.93	1.56610640576472e-143	Prpf4b	other
4.1653210501128e-146	0.692409118602626	0.995	0.948	1.35751978344226e-141	Psmb2	other
1.89742547295942e-145	-1.25695088163768	0.634	0.88	6.18389935892203e-141	Rbis	other
2.40856764141349e-145	-0.938930196815759	0.896	0.963	7.84976280013071e-141	Ddx3x	other
4.03580056603856e-144	0.866861375883112	0.976	0.929	1.31530776247763e-139	Tceal8	other
2.05838435556547e-141	-0.673304323411152	0.988	0.995	6.70848045322342e-137	Nucks1	other
9.97959764365139e-140	-1.35531896795796	0.657	0.865	3.25245066804242e-135	Rian	other
1.29516739571183e-139	0.529206098915143	1	0.996	4.22108005936443e-135	Eno1	other
2.25395112684684e-138	0.452566876300327	1	0.999	7.34585211750653e-134	Eef2	other
7.30572900118845e-138	-1.21569004380709	0.655	0.875	2.38101013877733e-133	Gm4149	other
2.87804408949357e-137	-0.507671395495721	0.999	0.999	9.37983349206848e-133	Pdap1	other
5.27538473372266e-136	0.647888734446689	0.995	0.962	1.71930063856755e-131	Cct4	other
1.6681486861259e-134	-1.29075055292238	0.618	0.85	5.43666338295292e-130	Rbm22	other
3.90584324033511e-134	-0.757343303062454	0.969	0.986	1.27295337045762e-129	Hnrnpm	other
1.26295189935288e-133	-1.02371351642004	0.88	0.961	4.11608653518096e-129	Hnrnpa3	other
1.22795028130716e-132	0.268661721938302	1	1	4.00201276180817e-128	Rps2	other
7.1345494088193e-131	0.335442838419629	1	1	2.3252209978283e-126	Nme2	other
5.60685026316125e-130	0.538235776094553	0.997	0.989	1.82732856926688e-125	Nhp2	other
4.03043208254139e-129	-0.621602761932103	0.98	0.993	1.31355812002106e-124	Hnrnpa0	other
6.42210810307515e-128	1.14295340708627	0.891	0.615	2.09302925187322e-123	Ppp4c	other
6.65998914895291e-128	1.07514247709667	0.91	0.649	2.17055706353524e-123	Elavl1	other
9.85391276809869e-127	6.70103678046891	0.279	0.002	3.21148871025104e-122	Ddx3y	chrY
1.08544593724026e-126	5.97308322925538	0.287	0.005	3.53757685405972e-122	Hoxb2	HoxABCD
5.06250517814414e-126	0.42835538864084	1	0.995	1.64992106260896e-121	Ran	other
9.87764982110671e-126	0.744523383560035	0.978	0.892	3.21922485319689e-121	Emg1	other
1.53418511652591e-125	-0.621570951420264	0.98	0.991	5.00006271326958e-121	St13	other
5.18306321834989e-125	0.251503187884206	1	1	1.68921213349241e-120	Fau	other
1.72957943359262e-124	0.579439773873675	1	0.972	5.63687233202171e-120	Uqcrb	other
1.27964029551047e-123	1.4444840153685	0.917	0.65	4.17047568709818e-119	Dppa5a	other
1.64659657735411e-123	-0.686114249683636	0.958	0.983	5.36642290525479e-119	Eif5b	other
1.38690698605753e-122	-0.71733076621656	0.944	0.978	4.52006855826009e-118	Son	other
1.96278290757478e-122	-0.539163467157269	0.996	0.997	6.39690577407696e-118	Rps13-ps1	other
3.87002273452429e-122	-1.33444729604868	0.576	0.81	1.26127910940881e-117	Slc38a2	other
