"Sample","Distance_microns","Gray_Value"
"wt_1",0,22957.158
"wt_1",0.329,23165.043
"wt_1",0.659,22754.613
"wt_1",0.988,22636.486
"wt_1",1.318,22524.809
"wt_1",1.647,22386.42
"wt_1",1.977,21882.162
"wt_1",2.306,22042.242
"wt_1",2.635,21778.846
"wt_1",2.965,21773.502
"wt_1",3.294,21564.723
"wt_1",3.624,21483.902
"wt_1",3.953,21869.021
"wt_1",4.283,21873.684
"wt_1",4.612,22040.518
"wt_1",4.941,22367.939
"wt_1",5.271,22470.434
"wt_1",5.6,22725.641
"wt_1",5.93,22276.621
"wt_1",6.259,22291.676
"wt_1",6.588,22558.934
"wt_1",6.918,22229.623
"wt_1",7.247,22027.168
"wt_1",7.577,22262.031
"wt_1",7.906,22320.312
"wt_1",8.236,21957.869
"wt_1",8.565,21665.148
"wt_1",8.894,21685.34
"wt_1",9.224,21617.904
"wt_1",9.553,21321.701
"wt_1",9.883,21110.902
"wt_1",10.212,20889.969
"wt_1",10.542,20760.379
"wt_1",10.871,20699.236
"wt_1",11.2,20677.385
"wt_1",11.53,20712.941
"wt_1",11.859,20464.039
"wt_1",12.189,20577.289
"wt_1",12.518,20862.879
"wt_1",12.848,20994.35
"wt_1",13.177,20977.449
"wt_1",13.506,20762.201
"wt_1",13.836,21052.666
"wt_1",14.165,21049.686
"wt_1",14.495,21117.416
"wt_1",14.824,21212.006
"wt_1",15.153,21259.988
"wt_1",15.483,21250.947
"wt_1",15.812,21415.99
"wt_1",16.142,21678.016
"wt_1",16.471,21594.691
"wt_1",16.801,21569.15
"wt_1",17.13,21716.15
"wt_1",17.459,21702.205
"wt_1",17.789,21686.289
"wt_1",18.118,22109.504
"wt_1",18.448,22234.154
"wt_1",18.777,22142.58
"wt_1",19.107,22233.326
"wt_1",19.436,22307.455
"wt_1",19.765,22261.32
"wt_1",20.095,22582.33
"wt_1",20.424,22378.414
"wt_1",20.754,22682.139
"wt_1",21.083,22778.893
"wt_1",21.413,23221.428
"wt_1",21.742,23268.996
"wt_1",22.071,23619.09
"wt_1",22.401,23735.832
"wt_1",22.73,23585.566
"wt_1",23.06,23714.9
