wt	BADC
292.4985994	273.7229692
320.1481793	243.8383754
352.2434174	277.9240896
377.4526611	279.9470588
365.1733894	272.4358543
254.9092437	284.1988796
316.1826331	266.2571429
360.9941176	236.1
390.659944	260.7803922
283.9439776	263.3745098
306.2865546	214.9246499
374.8411765	205.7871148
379.9666667	223.9697479
352.6182073	214.367507
262.8196078	228.6347339
395.8408964	210.0577031
341.0680672	229.6422969
341.3246499	210.0305322
357.6910364	213.1089636
376.1621849	227.5137255
332.562465	232.602521
333.6106443	223.0708683
329.0585434	205.4366947
370.0747899	210.8492997
379.4882353	207.7151261
382.947619	212.1439776
371.7795518	194.8016807
289.2316527	219.0759104
302.8042017	203.8731092
365.070028	209.2826331
